sensor,intercept_original_units,coef_soil_indice_0_1,coef_temp_c,coef_pres_kpa,nivel_medio_treino_remantido,metodo
MQ2,559370.5947720992,3925.2485673363603,-88.09132946478711,-5859.972104183809,9555.22507485275,HuberRegressor ajustado somente no treino
MQ3,-8785.280531080827,4837.217861181088,83.04635396053348,207.9342051299356,16229.359637412157,HuberRegressor ajustado somente no treino
MQ7,208902.41814484098,-715.7650419543154,-50.615350321294606,-2201.550849475752,556.9324563984857,HuberRegressor ajustado somente no treino
MQ8,633762.6835932811,-978.2988536159852,-204.52871599974026,-6643.018155632875,3839.4288614850807,HuberRegressor ajustado somente no treino
MQ135,146865.49511042266,1718.8232175189491,82.64635339802619,-1397.7047317153977,19889.4098149816,HuberRegressor ajustado somente no treino
MQ138,1140145.688822833,-5041.684516899625,-199.67809543228972,-11962.029865122598,10233.202910131,HuberRegressor ajustado somente no treino
