outer_fold,threshold_validado,treino_linhas,teste_linhas,treino_coletas,teste_coletas,accuracy_limiar_050,balanced_accuracy_limiar_050,f1_macro_limiar_050,accuracy_limiar_validado,balanced_accuracy_limiar_validado,f1_macro_limiar_validado,accuracy_limiar_057_fixo,balanced_accuracy_limiar_057_fixo,f1_macro_limiar_057_fixo,matriz_limiar_050,matriz_limiar_validado,matriz_limiar_057_fixo
1,0.47,56917,13977,29,7,0.8910352722329541,0.8927989338284824,0.8902152075223959,0.8976175144880876,0.8987069739004063,0.8967240900981914,0.8778707877226872,0.8810159428249529,0.8772168881565152,"[[5623, 568], [955, 6831]]","[[5623, 568], [863, 6923]]","[[5625, 566], [1141, 6645]]"
2,0.6,57056,13838,29,7,0.853880618586501,0.8259651696977381,0.8389296186822337,0.8731030495736378,0.8759821771643548,0.8708643477491909,0.934961699667582,0.9240698077193789,0.9316225069573284,"[[3800, 1945], [77, 8016]]","[[5130, 615], [1141, 6952]]","[[4940, 805], [95, 7998]]"
3,0.6599999999999999,57905,12989,30,6,0.9087689583493725,0.9025653675382339,0.9065261368473221,0.9569635845715605,0.954037164939977,0.9564679239626933,0.9335591654476865,0.9290412761059037,0.9324150443107,"[[4896, 1185], [0, 6908]]","[[5522, 559], [0, 6908]]","[[5218, 863], [0, 6908]]"
4,0.5800000000000001,55866,15028,28,8,0.9952089433058291,0.9955855303494788,0.9951776807611614,0.983430928932659,0.9847332924586143,0.9833522690455394,0.9854272025552302,0.9865726548129982,0.9853539225515247,"[[6873, 0], [72, 8083]]","[[6873, 0], [249, 7906]]","[[6873, 0], [219, 7936]]"
5,0.5800000000000001,55832,15062,28,8,0.6932678263178861,0.7068258304462607,0.6893193983194261,0.7234762979683973,0.7401558146144459,0.7171934453080533,0.7220156685699111,0.7385573542697916,0.715836935139702,"[[6070, 858], [3762, 4372]]","[[6571, 357], [3808, 4326]]","[[6548, 380], [3807, 4327]]"
