sensores,qtd_sensores,accuracy,balanced_accuracy,f1_macro
"MQ2,MQ3,MQ7,MQ135",4,0.8754494522953424,0.8738177986669069,0.8741013534247427
"MQ2,MQ3,MQ135",3,0.8624466928672966,0.8603882259818412,0.8602271704803566
"MQ2,MQ8,MQ135",3,0.8450539342754411,0.8425428281762348,0.8414949222252079
"MQ2,MQ7,MQ135",3,0.840538506564094,0.8393434857802128,0.839523702499865
"MQ2,MQ3,MQ7,MQ8,MQ135",5,0.8332636508069237,0.831406458411651,0.8310398142287538
"MQ2,MQ7,MQ8,MQ135",4,0.8139058449703153,0.8118671617022344,0.8109974523922363
"MQ3,MQ7,MQ135",3,0.8124007023998662,0.811793536580218,0.811974304626104
"MQ2,MQ3,MQ8,MQ135,MQ138",5,0.8143657496446192,0.8115634178549873,0.8091825050074447
"MQ2,MQ3,MQ8,MQ135",4,0.8129860356217075,0.8110614051773513,0.8103477953535039
"MQ2,MQ135",2,0.8042060372940881,0.8019743682314384,0.8006170011258443
"MQ2,MQ8,MQ135,MQ138",4,0.7970148005686094,0.7938374003239408,0.7898612052412851
"MQ3,MQ8,MQ135",3,0.7929592775315661,0.7898000388270048,0.7857480654781124
"MQ2,MQ3,MQ135,MQ138",4,0.7890291830420604,0.7861443199977505,0.7828458780382277
"MQ3,MQ8,MQ135,MQ138",4,0.7876076595033029,0.7847504997726582,0.7814964270623965
"MQ2,MQ3,MQ7,MQ135,MQ138",5,0.7757337570030939,0.7727188846164728,0.7686124243726793
"MQ2,MQ7,MQ8,MQ135,MQ138",5,0.7687097583409984,0.7650328023840103,0.7579715190317982
"MQ2,MQ135,MQ138",3,0.7646124257881094,0.761214487166157,0.7552415613080625
"MQ2,MQ8,MQ138",3,0.7606405217827578,0.7576822404503736,0.7533320818945367
"MQ8,MQ135",2,0.7596789029183042,0.756605125059712,0.7517902376647186
"MQ8,MQ135,MQ138",3,0.7598043314658416,0.7560529611256768,0.7482265427862537
"MQ2,MQ3,MQ7,MQ8,MQ135,MQ138",6,0.7546617610168074,0.7512556297320849,0.7448686970231639
"MQ3,MQ135,MQ138",3,0.7507316665273016,0.7499814310951289,0.7499999228606481
"MQ2,MQ7,MQ8,MQ138",4,0.7485575717033197,0.7445257158261243,0.7346162934690039
"MQ2,MQ3,MQ8,MQ138",4,0.7444602391504307,0.741584802784381,0.7370923752308265
"MQ2,MQ3,MQ7,MQ8,MQ138",5,0.74416757253951,0.7403840788856181,0.7316640196109322
"MQ3,MQ7,MQ8,MQ135",4,0.7406973827243081,0.7392589385958719,0.7385492619020552
"MQ8,MQ138",2,0.73898319257463,0.7364231088735863,0.7329363487423028
"MQ3,MQ7,MQ135,MQ138",4,0.7353875742118906,0.7321791444846155,0.7260095298105966
"MQ3,MQ7,MQ8,MQ135,MQ138",5,0.7358474788861945,0.7320665489685926,0.7229739782250992
"MQ2,MQ7,MQ135,MQ138",4,0.73379881260975,0.7296419175812014,0.7181547769934432
"MQ2,MQ3,MQ7",3,0.7275691947487248,0.7269800434721163,0.7270146621007523
"MQ2,MQ3,MQ7,MQ8",4,0.7281963374864119,0.7265098701974271,0.7252447934898147
"MQ2,MQ7,MQ8",3,0.7280290994230287,0.7259054391415728,0.7235723174003368
"MQ2,MQ3,MQ7,MQ138",4,0.7269838615268835,0.7236933595504796,0.7168446508639754
"MQ3,MQ135",2,0.7181202441675726,0.7178646364430854,0.7179131904332788
"MQ135,MQ138",2,0.7169913872397358,0.7161110176749605,0.715954638124902
"MQ2,MQ7",2,0.7150263399949829,0.7148432855424035,0.7148733695295384
"MQ2,MQ7,MQ138",3,0.7099255790617944,0.7068515744189563,0.7005049197568797
"MQ3,MQ7,MQ8,MQ138",4,0.70917300777657,0.7053858497425691,0.6950225764920941
"MQ7,MQ8,MQ135",3,0.7069152939208964,0.7048884150282961,0.7025301233146464
"MQ3,MQ7,MQ8",3,0.705493770382139,0.7038220538296447,0.7023708718191537
"MQ7,MQ8,MQ135,MQ138",4,0.7048248181286061,0.7000772588148614,0.6822439451111031
"MQ7,MQ8,MQ138",3,0.6904841541934944,0.6858263526386643,0.6677617357035843
"MQ2,MQ3,MQ8",3,0.6847980600384648,0.6830916612834503,0.681358479933766
"MQ7,MQ135,MQ138",3,0.6842545363324692,0.6805495066868517,0.6696074244397336
"MQ2,MQ138",2,0.6818295844134125,0.6790543767270751,0.6733754484098567
"MQ2,MQ8",2,0.6768124425119157,0.6749520459212043,0.6727094101629205
"MQ2,MQ3,MQ138",3,0.6700811104607408,0.6659770589127928,0.6513846446534238
"MQ3,MQ8,MQ138",3,0.6482147336733841,0.6481241733917088,0.6481133413335307
MQ2,1,0.6495108286646041,0.6471559288944715,0.6427220064115586
"MQ2,MQ3",2,0.642194163391588,0.6409890695091867,0.6400964898244046
"MQ7,MQ8",2,0.6407308303369847,0.6392095147775014,0.6375832364617724
"MQ3,MQ7,MQ138",3,0.6386821640605401,0.6360375247508167,0.6300089886436928
MQ8,1,0.6340831173175014,0.6315167701919397,0.6257929706481651
"MQ3,MQ7",2,0.6053599799314324,0.6042398830419542,0.6033538356551847
MQ3,1,0.5955347437076679,0.5967182962310211,0.5944376374760074
"MQ7,MQ135",2,0.5929425537252279,0.592874898390372,0.5928543706213805
MQ138,1,0.570658081779413,0.5716174699978152,0.5699522283441973
MQ135,1,0.5695710343674221,0.5700208344546546,0.5694944552437192
"MQ3,MQ138",2,0.5695292248515762,0.5682437907830874,0.5668070985340683
"MQ7,MQ138",2,0.5585333221841291,0.5583964027350131,0.5583938899421304
MQ7,1,0.5047662848064219,0.5058576597528228,0.5035845029453592
"MQ3,MQ8",2,0.4936031440755916,0.49541367459689534,0.4897067518222358
