sensor,chi2_score,chi2_p_value,cramers_v,random_forest_importance
MQ138,800.8106950412104,3.595849781619301e-176,0.4815410966755488,0.15470513645066236
MQ7,657.5558471808429,5.080164521439889e-145,0.3897843800165827,0.14418508584751408
MQ8,654.0256846984939,2.975830579086309e-144,0.45277297139063194,0.20770366616704106
MQ2,306.8897978446813,1.0393747372645403e-68,0.5049678145045484,0.1612712326521829
MQ3,151.03781246621725,1.0283090742059496e-34,0.38465819138815693,0.08876840727913533
MQ135,43.4637668728179,4.318825257905926e-11,0.4944347030168667,0.2433664716034642
