sensores_mantidos,sensores_removidos,qtd_sensores,features,accuracy,balanced_accuracy,f1_macro,cenario,delta_balanced_accuracy_pp_vs_baseline
MQ135,MQ2 | MQ3 | MQ7 | MQ8 | MQ138,1,MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8567488130228352,0.8547121319893332,0.8556482556273681,1_MQ__MQ135,-5.259153701910046
MQ3 | MQ138,MQ2 | MQ7 | MQ8 | MQ135,2,MQ3_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8537644132941442,0.851315918046805,0.8523281463336749,2_MQ__MQ3_MQ138,-5.598775096162867
MQ3 | MQ135 | MQ138,MQ2 | MQ7 | MQ8,3,MQ3_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8528600497399955,0.8504071149122021,0.8514122227442594,3_MQ__MQ3_MQ135_MQ138,-5.6896554096231515
MQ3 | MQ8 | MQ135 | MQ138,MQ2 | MQ7,4,MQ3_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8524078679629211,0.8493408137993911,0.8504048530203459,4_MQ__MQ3_MQ8_MQ135_MQ138,-5.796285520904254
MQ138,MQ2 | MQ3 | MQ7 | MQ8 | MQ135,1,MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8482477956138368,0.8453287141351422,0.8463387143191365,1_MQ__MQ138,-6.197495487329141
MQ7 | MQ8 | MQ135,MQ2 | MQ3 | MQ138,3,MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8444946868641193,0.8417714275540747,0.8427309115346784,3_MQ__MQ7_MQ8_MQ135,-6.5532241454358875
MQ3 | MQ7 | MQ8 | MQ135 | MQ138,MQ2,5,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8442233777978747,0.840837282411695,0.8417803981058625,5_MQ__MQ3_MQ7_MQ8_MQ135_MQ138,-6.646638659673865
MQ8 | MQ135 | MQ138,MQ2 | MQ3 | MQ7,3,MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8430929233551888,0.839778785769206,0.8407133584255175,3_MQ__MQ8_MQ135_MQ138,-6.752488323922767
MQ3 | MQ8,MQ2 | MQ7 | MQ135 | MQ138,2,MQ3_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.841781596201673,0.8387937314035769,0.8397301862618215,2_MQ__MQ3_MQ8,-6.850993760485668
MQ135 | MQ138,MQ2 | MQ3 | MQ7 | MQ8,2,MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8397919963825458,0.8366710055590759,0.8375779662223084,2_MQ__MQ135_MQ138,-7.06326634493577
MQ8,MQ2 | MQ3 | MQ7 | MQ135 | MQ138,1,MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8395659054940086,0.8362928695541996,0.83718374261492,1_MQ__MQ8,-7.101079945423406
MQ3 | MQ8 | MQ138,MQ2 | MQ7 | MQ135,3,MQ3_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8395659054940086,0.835790296060821,0.8365928454041591,3_MQ__MQ3_MQ8_MQ138,-7.151337294761262
MQ8 | MQ138,MQ2 | MQ3 | MQ7 | MQ135,2,MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8363554148767804,0.8326196869983191,0.8333785028232643,2_MQ__MQ8_MQ138,-7.46839820101145
MQ3 | MQ7 | MQ8 | MQ135,MQ2 | MQ138,4,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8339588514582862,0.830685050526452,0.8315009104970019,4_MQ__MQ3_MQ7_MQ8_MQ135,-7.661861848198159
MQ7 | MQ8 | MQ135 | MQ138,MQ2 | MQ3,4,MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8292561609767126,0.8255258861750843,0.826169330444471,4_MQ__MQ7_MQ8_MQ135_MQ138,-8.177778283334936
MQ3 | MQ7 | MQ8 | MQ138,MQ2 | MQ135,4,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.824553470495139,0.8202166024685515,0.8205206616410505,4_MQ__MQ3_MQ7_MQ8_MQ138,-8.708706653988207
MQ7 | MQ135 | MQ138,MQ2 | MQ3 | MQ8,3,MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8202125254352249,0.8165945011127062,0.8171305176377882,3_MQ__MQ7_MQ135_MQ138,-9.070916789572747
MQ3 | MQ7 | MQ135,MQ2 | MQ8 | MQ138,3,MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.815464616775944,0.8122467191415339,0.8128336260700657,3_MQ__MQ3_MQ7_MQ135,-9.505694986689972
MQ7 | MQ8 | MQ138,MQ2 | MQ3 | MQ135,3,MQ7_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.816188107619263,0.8117277710013464,0.8117810350474206,3_MQ__MQ7_MQ8_MQ138,-9.55758980070872
MQ7 | MQ135,MQ2 | MQ3 | MQ8 | MQ138,2,MQ7_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8135654533122315,0.8099991586240494,0.8104527094512471,2_MQ__MQ7_MQ135,-9.730451038438426
MQ3 | MQ7 | MQ135 | MQ138,MQ2 | MQ8,4,MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8133845806014017,0.8094623330875212,0.8097613674275939,4_MQ__MQ3_MQ7_MQ135_MQ138,-9.784133592091237
MQ7 | MQ138,MQ2 | MQ3 | MQ8 | MQ135,2,MQ7_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8082297083427538,0.8039744105421966,0.803991302604344,2_MQ__MQ7_MQ138,-10.332925846623697
MQ3 | MQ7 | MQ138,MQ2 | MQ8 | MQ135,3,MQ3_corrigido_env | MQ7_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.802893963373276,0.7986251995585864,0.7985266689415349,3_MQ__MQ3_MQ7_MQ138,-10.867846944984727
MQ3 | MQ7 | MQ8,MQ2 | MQ135 | MQ138,3,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8012208907981009,0.7966741884399104,0.7963359230875267,3_MQ__MQ3_MQ7_MQ8,-11.062948056852317
MQ7 | MQ8,MQ2 | MQ3 | MQ135 | MQ138,2,MQ7_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.7983721456025322,0.7934741795364266,0.7927640342085117,2_MQ__MQ7_MQ8,-11.382948947200699
MQ7,MQ2 | MQ3 | MQ8 | MQ135 | MQ138,1,MQ7_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.7862536739769387,0.7812877325257173,0.7802004744174688,1_MQ__MQ7,-12.601593648271637
MQ3 | MQ7,MQ2 | MQ8 | MQ135 | MQ138,2,MQ3_corrigido_env | MQ7_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.7643680759665386,0.7588743624738661,0.7564972045904912,2_MQ__MQ3_MQ7,-14.842930653456754
