sensores_mantidos,sensores_removidos,qtd_sensores,features,accuracy,balanced_accuracy,f1_macro,cenario,sensor_removido,delta_balanced_accuracy_pp_vs_baseline
MQ2 | MQ3 | MQ7 | MQ8 | MQ135 | MQ138,nenhum,6,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9082975356093149,0.9073036690084336,0.9079631495525959,baseline_todos_os_MQ,nenhum,0.0
MQ3 | MQ7 | MQ8 | MQ135 | MQ138,MQ2,5,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8442233777978747,0.840837282411695,0.8417803981058625,sem_MQ2,MQ2,-6.646638659673865
MQ2 | MQ7 | MQ8 | MQ135 | MQ138,MQ3,5,MQ2_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8966312457607959,0.8949695144122443,0.8959925593917004,sem_MQ3,MQ3,-1.2334154596189362
MQ2 | MQ3 | MQ8 | MQ135 | MQ138,MQ7,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9128193533800588,0.9117040922547683,0.912463007483844,sem_MQ7,MQ7,0.4400423246334717
MQ2 | MQ3 | MQ7 | MQ135 | MQ138,MQ8,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8973095184264074,0.8960321262135338,0.89683617409646,sem_MQ8,MQ8,-1.1271542794899836
MQ2 | MQ3 | MQ7 | MQ8 | MQ138,MQ135,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8783631019669907,0.876024920222426,0.8772209282316473,sem_MQ135,MQ135,-3.127874878600767
MQ2 | MQ3 | MQ7 | MQ8 | MQ135,MQ138,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8970382093601628,0.8956331892069597,0.896512645098476,sem_MQ138,MQ138,-1.1670479801473954
