feature,importance_mean,importance_std
MQ3,0.20648,0.004257886799810436
MQ2,0.18036,0.006685387049378674
MQ8,0.17912,0.004410170064748068
MQ138,0.1357,0.0032987876560942714
MQ135,0.07437999999999999,0.004588202262324542
MQ7,0.03456,0.002538976171609335
