Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,377.04,0,0,0.2662435228406777,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,464.24,1,1,0.994443914713283,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,375.01,0,0,0.44669958069787913,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,215.48,0,0,0.30422112596533496,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,424.89,0,0,0.2883491429609472,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,246.85,1,1,0.8207497409836169,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,307.29,0,1,0.5128215626502034,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,647.92,1,1,0.9503704482302565,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,523.47,1,1,0.9463124019898302,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,684.06,0,0,0.4648227954477312,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,269.13,0,0,0.21715959433218857,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,185.38,1,1,0.9943872903813905,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,95.25,0,0,0.09129735391046669,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,401.13,1,1,0.9590484353308453,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,361.09,1,1,0.9080025799990837,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,411.33,1,1,0.9885016935280877,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,122.6,1,0,0.4387676383208438,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,687.18,1,1,0.974527787027787,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,147.8,1,1,0.7658171355965031,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,237.76,1,1,0.9931029340728281,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,198.54,0,0,0.09325731227821342,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,153.59,1,1,0.7731082982729498,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,316.61,0,0,0.477257968750932,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,161.89,1,1,0.9506609266550082,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,175.98,0,0,0.4008052114977008,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,217.58,0,0,0.3531431918046038,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,154.66,1,1,0.7858899794196683,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,332.32,0,0,0.4438839539247429,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,674.73,1,1,0.8925445580592223,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,331.07,1,1,0.8469037646783876,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,355.98,0,0,0.10724190457955167,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,538.48,1,1,0.9845230971327357,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,220.95,0,0,0.4439945681777445,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,500.37,0,0,0.46261122863849874,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,699.69,1,1,0.9581482260080343,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,242.52,0,0,0.413022976813768,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,530.92,1,1,0.9462932986459937,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,176.33,0,0,0.1511937128515064,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,336.08,0,0,0.11392041015740235,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,524.88,1,1,0.9845457728696971,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,617.94,1,1,0.9790001917695601,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,479.25,0,0,0.3302945026343763,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,584.47,1,1,0.9799597877291559,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,452.59,0,0,0.3190606584334651,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,241.41,1,1,0.9999912736724068,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,484.05,0,0,0.22089231371831686,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,239.96,0,0,0.01151804279334654,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,163.77,1,1,0.9836547269563688,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,280.56,0,0,0.4858816825128896,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,601.18,0,1,0.5217505229403445,False
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,234.49,0,0,0.012141487039520966,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,258.06,1,1,0.9546073163429499,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,573.07,0,0,0.45713090765854253,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,706.83,0,1,0.5072857162605465,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,736.0,1,1,0.9254728766602234,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,352.79,1,1,0.8569046754374431,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,581.11,1,1,0.9803127535184888,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,232.65,1,0,0.3247699782637326,False
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,390.7,0,0,0.36943191958416755,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,252.19,1,1,0.9526799167002911,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,578.57,1,1,0.9792998330392648,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,699.96,1,1,0.9375496806866257,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,450.06,1,1,0.8845502501164713,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,240.37,1,1,0.9999912736724068,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,725.43,1,1,0.8652999819776006,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,726.78,0,1,0.539329938454582,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,389.96,1,1,0.9428564511510249,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,620.01,1,1,0.9525926704524788,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,432.14,0,0,0.3505047761619596,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,542.85,1,1,0.9811092749588902,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,476.49,1,1,0.9888883591577274,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,205.11,1,1,0.9870775922254603,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,722.88,1,1,0.9321095132968599,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,567.43,1,1,0.9804109441503759,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,349.77,0,0,0.1594783063017312,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,209.81,0,0,0.16396545925458825,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,110.28,1,1,0.9888678353869667,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,444.67,0,0,0.4647049299545913,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,570.82,1,1,0.9197690385150563,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,165.05,1,1,0.9866456131647444,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,178.64,0,0,0.3266905165522258,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,393.97,1,1,0.9468922330996922,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,514.22,1,1,0.9811092749588902,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,479.94,0,0,0.2539743481014411,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,483.12,1,1,0.9888883591577274,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,256.22,0,0,0.11312782074921478,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,179.11,0,0,0.32891273877444804,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,397.4,0,0,0.2702704481737628,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,590.54,0,0,0.41697760924962013,True
