faixa_soil,classe_majoritaria_excedente,linhas_antes,por_classe_balanceado,linhas_balanceadas,linhas_validacao_sobra
seco,saudaveis_classe_1,16692,6507,13014,3678
molhado,doentes_classe_0,5423,1271,2542,2881
