conjunto,linhas,doentes_classe_0,saudaveis_classe_1,acertos,erros,accuracy,balanced_accuracy,f1_macro,acerto_doentes_classe_0,acerto_saudaveis_classe_1,matriz_confusao
avaliacao_balanceada,15556,7778,7778,13955,1601,0.8970815119568012,0.8970815119568012,0.897076458694434,0.8900745692980201,0.9040884546155824,"[[6923, 855], [746, 7032]]"
validacao_sobra,6559,2881,3678,6132,427,0.9348986125933831,0.9258937868795557,0.9325496742052253,0.8517875737591114,1.0,"[[2454, 427], [0, 3678]]"
