conjunto,linhas,doentes_classe_0,saudaveis_classe_1,acertos,erros,accuracy,balanced_accuracy,f1_macro,acerto_doentes_classe_0,acerto_saudaveis_classe_1,matriz_confusao
seco_balanceado,13014,6507,6507,12371,643,0.950591670508683,0.950591670508683,0.9504707605702389,0.901183341017366,1.0,"[[5864, 643], [0, 6507]]"
molhado_balanceado,2542,1271,1271,1584,958,0.6231313926042487,0.6231313926042487,0.6057324667519778,0.8332022029897719,0.41306058221872544,"[[1059, 212], [746, 525]]"
