Coleta,Dia,Vaso,Classe_real,prob_classe_1_saudavel,pred_limiar_050,pred_limiar_0.57
dia 20 sem pressao - Soja Heter,20,,0,0.23275247119145911,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23164858917020556,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2403749999989864,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.231641360080348,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22795214059177782,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22313320546530768,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22357676743578828,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2269204849851133,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22141117443722944,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22628344375570944,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21328037165429428,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22728360313388934,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2239723508332565,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22342605453696024,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2257566406368011,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22832275193181006,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2137510947592496,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22195156117567444,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21973985420056047,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22195156117567444,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22526609109020437,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2246692678434753,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21651338608731774,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21540227497620662,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21982463838795055,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2269606610307241,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23029298883364013,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20951348343007348,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2302446796548962,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23081345450216162,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23029399436405742,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.225849549919613,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2334967089432823,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22246565632467716,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23029298883364013,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22913457407420235,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2346200528108857,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23560155069830566,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20926368884224023,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23357191755109957,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2313557907660073,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23024568518531346,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23344839976453835,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22918187772252904,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23405361948806724,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24071530814773487,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24280691161584864,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24220742044760402,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24403920457994657,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21794802430608826,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24403920457994657,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24504760189643984,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24403920457994657,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24370104032873882,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24613181357847766,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2423902285432435,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2423919379449529,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24448283754177455,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24448283754177455,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24318720893331455,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2153689304802607,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24502913383807087,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24549691131296975,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2453763560602931,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24484632574243137,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24071701754944427,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22938421788597088,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21559636340087934,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24614024494918196,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24613181357847766,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2457936493272699,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24337343583237286,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24337343583237286,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2454111405572462,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2454111405572462,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24430002944613508,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24448454694348398,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2454111405572462,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21718638866324905,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24318891833502398,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2454111405572462,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2454111405572462,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2453946134980362,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2465057246091473,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24430002944613508,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24318891833502398,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23630873434618738,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2341087616739791,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23671266180941677,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21275586185037274,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20928317082968384,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23447153150674802,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23436881771213017,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.236717296651738,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24258016128881935,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2398284025501575,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.242451448969565,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23760618032793526,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24072222222120862,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23816928859597492,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22043011605412066,0,0
