avaliacao,modelo,fold,accuracy,balanced_accuracy,f1_macro
stratified_group_kfold,xgboost_depth3_regularizado,1,0.899692351720684,0.9005362017392814,0.8987716166844819
stratified_group_kfold,xgboost_depth3_regularizado,2,0.651611504552681,0.5844830714140458,0.5386658221816115
stratified_group_kfold,xgboost_depth3_regularizado,3,0.9604280545076603,0.9577372142739681,0.9600017230240101
stratified_group_kfold,xgboost_depth3_regularizado,4,0.8429598083577322,0.8415226840863265,0.841716318579622
stratified_group_kfold,xgboost_depth3_regularizado,5,0.761187093347497,0.7787947697373838,0.7551084883625823
stratified_group_kfold_media,xgboost_depth3_regularizado,media,0.8231757624972509,0.8126147882502011,0.7988527937664616
stratified_group_kfold,xgboost_depth4,1,0.9145739429062031,0.913893509727979,0.9135227578502616
stratified_group_kfold,xgboost_depth4,2,0.7725104783928314,0.730315198954022,0.7358370932350101
stratified_group_kfold,xgboost_depth4,3,0.9597351605204404,0.95699720440717,0.9592954579786843
stratified_group_kfold,xgboost_depth4,4,0.8615916955017301,0.8586900660605754,0.8599806201550387
stratified_group_kfold,xgboost_depth4,5,0.7546142610543088,0.7727199035099723,0.7478103059570116
stratified_group_kfold_media,xgboost_depth4,media,0.8526051076751028,0.8465231765319438,0.8432892470352013
stratified_group_kfold,xgboost_depth5,1,0.9021964656220934,0.9027838256796872,0.9012504916076098
stratified_group_kfold,xgboost_depth5,2,0.7624656742303801,0.7175107112626853,0.7207028620800883
stratified_group_kfold,xgboost_depth5,3,0.958888290091616,0.9560927479033055,0.958431911917527
stratified_group_kfold,xgboost_depth5,4,0.8621240351344157,0.859180562688411,0.8605029996364424
stratified_group_kfold,xgboost_depth5,5,0.7577346965874386,0.7743677495484128,0.7524779424016086
stratified_group_kfold_media,xgboost_depth5,media,0.8486818323331887,0.8419871194165003,0.8386732415286552
stratified_group_kfold,xgboost_depth4_balanceado,1,0.9112112756671675,0.9108752718651483,0.9101851001364182
stratified_group_kfold,xgboost_depth4_balanceado,2,0.7632605867899985,0.7193770804304228,0.7231359139779168
stratified_group_kfold,xgboost_depth4_balanceado,3,0.9608899838324736,0.9582305541851669,0.960472431224288
stratified_group_kfold,xgboost_depth4_balanceado,4,0.8569337237157306,0.8543982205670131,0.8554114233308043
stratified_group_kfold,xgboost_depth4_balanceado,5,0.7496348426503784,0.7681096256638942,0.7422529436571248
stratified_group_kfold_media,xgboost_depth4_balanceado,media,0.8483860825311498,0.8421981505423289,0.8382915624653104
stratified_group_kfold,xgboost_depth6_regularizado,1,0.9077055162051942,0.9077285983485801,0.9067083894849209
stratified_group_kfold,xgboost_depth6_regularizado,2,0.7269836681601387,0.6749546530288615,0.6681156842363603
stratified_group_kfold,xgboost_depth6_regularizado,3,0.9609669720532759,0.9583127775037,0.9605508721336411
stratified_group_kfold,xgboost_depth6_regularizado,4,0.8617247804099015,0.8588126902175344,0.8601112112005984
stratified_group_kfold,xgboost_depth6_regularizado,5,0.744655424246448,0.7626219044060486,0.7376574280908081
stratified_group_kfold_media,xgboost_depth6_regularizado,media,0.8404072722149916,0.832486124700945,0.8266287170292657
