sensor,extra_trees_importance,media_doente_classe_0,media_saudavel_classe_1,diferenca_media_1_menos_0,cohen_d_abs,auc_individual_melhor_direcao,correlacao_abs_classe,mutual_info,queda_balanced_accuracy_por_permutacao,desvio_permutacao
MQ8,0.36336355041175694,3209.71893757503,4742.267146735922,1532.5482091608924,0.8720350448469089,0.7011920437320641,0.39727902467045334,0.4453787966714795,0.20052620687126024,0.00133329645248752
MQ7,0.22442916954745315,910.5604241696678,4195.955298469287,3285.3948742996195,0.5484502786558284,0.5958067768483855,0.2627064034558446,0.5474519587889644,0.06870916979376249,0.0015997235040087338
MQ2,0.14647922414835535,9430.46193477391,11817.02695470822,2386.565019934311,0.5932528420753732,0.6428096570151297,0.2825137612245099,0.3591607498165741,0.07350938066867518,0.001341157131095302
MQ138,0.10182229762080858,9656.436424569827,11774.240192027703,2117.8037674578754,0.5863844034074677,0.5968413139465836,0.2794998284322926,0.19065512025395215,0.03129963316616111,0.0011190371709067942
MQ135,0.0885856801733349,19237.98069227691,18403.997520953842,-833.9831713230669,0.21049908300142683,0.5660071026797372,0.10393307567135124,0.17669524471072684,0.02362862495413991,0.0017593437453130346
MQ3,0.07532007809829115,15874.635804321728,15426.665840317948,-447.96996400377975,0.1504480736480212,0.5083803629270542,0.07448017231252708,0.1825342917725128,0.058213575993187806,0.00096032863802055
