dataset,linhas_originais,linhas_removidas,linhas_mantidas,percentual_removido,eventos_pressao_detectados,limiar_delta_pressao,janela_linhas_antes_depois,pressao_min_original,pressao_max_original,pressao_min_filtrado,pressao_max_filtrado
antes_dia_20,71302,5221,66081,7.322375248941124,2005,0.1,30,43.38,93.88,70.23,93.88
dia_20_mais,27195,0,27195,0.0,0,0.1,30,93.61,93.93,93.61,93.93
