dataset,linhas_originais,linhas_removidas,linhas_mantidas,percentual_removido,eventos_pressao_detectados,limiar_delta_pressao,janela_linhas_antes_depois,pressao_min_original,pressao_max_original,pressao_min_filtrado,pressao_max_filtrado,pressao_mediana,faixa_estavel_min,faixa_estavel_max,linhas_fora_faixa_estavel
antes_dia_20_estrito,70894,7521,63373,10.60879623099275,1968,0.1,30,43.38,93.88,93.47,93.88,93.69,93.19,94.19,5383
dia_20_mais_estrito,27195,0,27195,0.0,0,0.1,30,93.61,93.93,93.61,93.93,93.74,93.24,94.24,0
