Classe,coluna,linhas_validas,min,media,mediana,max,desvio_padrao,amplitude
0,Soil,28925,1.0,1395.3282627484875,162.0,2955.0,1332.6820400470476,2954.0
0,Temp.,28925,26.0,38.062513396715644,39.4,46.8,4.412989147413197,20.799999999999997
0,Pres.,28925,93.47,93.63131892826276,93.69,93.73,0.08376387755587884,0.2600000000000051
0,MQ2,28925,4503.0,9239.365531547104,7413.0,17625.0,3366.3377668815087,13122.0
0,MQ3,28925,11318.0,15808.711426101989,14916.0,19073.0,2174.6087805010793,7755.0
0,MQ7,28925,71.0,1124.6791011235955,319.0,8661.0,2112.13583848552,8590.0
0,MQ8,28925,2471.0,3321.594261019879,3217.0,12078.0,766.9104130671577,9607.0
0,MQ135,28925,10244.0,19076.463543647365,19718.0,21631.0,2664.301142726128,11387.0
0,MQ138,28925,2848.0,9739.67768366465,9291.0,14328.0,1665.7319826112353,11480.0
1,Soil,34448,150.0,1258.8398165350673,673.0,2971.0,1099.8790085142668,2821.0
1,Temp.,34448,19.4,35.7694118671621,36.6,44.2,4.99542839538126,24.800000000000004
1,Pres.,34448,93.49,93.67182768230377,93.71,93.88,0.11995406668740909,0.39000000000000057
1,MQ2,34448,6133.0,12098.65220041802,10236.0,21640.0,4967.327046574804,15507.0
1,MQ3,34448,6554.0,14741.925365768695,15270.0,19497.0,3781.3688177017125,12943.0
1,MQ7,34448,63.0,5246.624129122155,1047.5,21643.0,8392.401963285794,21580.0
1,MQ8,34448,2207.0,5012.232959823502,4349.0,16359.0,2196.6051780611638,14152.0
1,MQ135,34448,6253.0,17724.483163028333,20386.0,23018.0,5484.712382624632,16765.0
1,MQ138,34448,6981.0,12669.086449140734,11446.0,21642.0,4691.271889678198,14661.0
