threshold,accuracy,balanced_accuracy,f1_macro
0.5700000000000001,0.698874738898996,0.7188283091427863,0.6900078386042916
0.56,0.6947645037396402,0.7157126577984461,0.6844356977910917
0.5800000000000001,0.694292837409878,0.7134619818134512,0.6862093802491891
0.55,0.6865440334209285,0.7086610062872368,0.6741447814216749
0.59,0.6900478404420187,0.7084761053164312,0.6826829168075805
0.54,0.6849942726231386,0.7076211201535196,0.6717230257104265
0.53,0.6838487972508591,0.7068479228625096,0.6699168482502372
0.6,0.6845899871976282,0.7021627951910927,0.6780071880267453
0.52,0.6781214203894617,0.701927202207065,0.662488803752965
0.64,0.6878242706017115,0.7013899272472178,0.6848822559506194
0.61,0.6835792736338522,0.7002479709471914,0.6779098016843832
0.63,0.6835118927296004,0.6988499472495672,0.6790905675907515
0.62,0.6819621319318105,0.6982085162582213,0.6766682784898048
0.51,0.6680816656559531,0.6932945746646423,0.6491551189395164
0.65,0.6812209419850415,0.6930025809837159,0.6793355178913146
0.5,0.6653864294858837,0.6910947553664372,0.6452601998730684
0.49,0.6645778586348629,0.6904324657231969,0.644086934352649
0.47,0.663769287783842,0.689910807306676,0.6426115536660401
0.48,0.6638366686880938,0.6898673609304276,0.6429190108374558
0.45999999999999996,0.6620847651775487,0.688418727556365,0.6403802263860415
0.44999999999999996,0.6608719089010174,0.6874311527259513,0.6385773055071212
0.44,0.6580419109224446,0.6849314903067649,0.634773226903441
0.43,0.653864294858837,0.6810975328606104,0.6294424006674741
0.42,0.6491476315612156,0.6767673590641272,0.6233791332390255
0.6599999999999999,0.6649147631561215,0.6740895198448116,0.6641373860309348
0.41,0.644970015497608,0.672945120886866,0.6179324147057514
0.4,0.6314938346472609,0.6605865892042204,0.6001367060666107
0.39,0.6186240819351796,0.6487863009156949,0.5826897984063293
0.6699999999999999,0.6421400175190352,0.6484015136794332,0.6420416670668805
0.38,0.6077757563506502,0.638846823940902,0.5675958708476537
0.37,0.5955798126810862,0.6276550868213939,0.5502630997523197
0.6799999999999999,0.6164005120948723,0.6195155468315159,0.6162845483131636
0.36,0.5827100599690048,0.6158430792639751,0.5314686020520993
0.35,0.569166498214406,0.6033990819997519,0.5111425171809636
0.33999999999999997,0.5584529344383802,0.5935367820369681,0.4946876358211386
0.32999999999999996,0.5466612761943265,0.5826820493735269,0.4760867816829186
0.69,0.5808233946499562,0.5799563724828273,0.5793036447338737
0.32,0.5385081867798666,0.5751767770748046,0.46290841771378666
0.31,0.5275250993868338,0.5650663689368565,0.4447223672985544
0.3,0.5150596321002627,0.5535913658355043,0.42344351991410817
0.7,0.553938413853514,0.5498401568570623,0.5498812479956018
0.71,0.521123913482919,0.5131991079083932,0.5120849077742755
0.72,0.4711272825281315,0.4573191362761598,0.4492175442348086
0.73,0.45151943939087663,0.43465187458900223,0.42005199390092673
0.74,0.4340004042854255,0.4144934147040322,0.3923613243571706
0.75,0.4288120746580419,0.4075375483179693,0.37959675698660184
