coluna,linhas_validas,min,p05,media,mediana,p95,max,desvio_padrao,amplitude,cv_percent
Soil,63373,1.0,80.60000000000036,1321.1365092389503,657.0,2876.0,2971.0,1213.593263025659,2970.0,91.85979302962097
Temp.,63373,19.4,27.5,36.81603995392359,37.5,42.8,46.8,4.874160695810982,27.4,13.239231329363898
Pres.,63373,93.47,93.51,93.65333848799962,93.69,93.85,93.88,0.10691544476216969,0.4099999999999966,0.11416084732085596
MQ2,63373,4503.0,6063.0,10793.603253751598,10138.0,20617.399999999994,21640.0,4540.13042299501,17137.0,42.063158300885014
MQ3,63373,6554.0,7467.6,15228.832831016363,15049.0,18817.0,19497.0,3195.7868077121025,12943.0,20.98510662749732
MQ7,63373,63.0,75.0,3365.2667697599923,489.0,20617.0,21643.0,6673.556235537636,21580.0,198.30690082300927
MQ8,63373,2207.0,2347.0,4240.583765957111,3665.0,8341.0,16359.0,1897.4580880899202,14152.0,44.74520945258722
MQ135,63373,6253.0,6679.0,18341.560349044546,20126.0,21558.0,23018.0,4477.1669271496385,16765.0,24.40995663372154
MQ138,63373,2848.0,7505.0,11332.032048348667,10385.0,20618.0,21642.0,3918.974836864852,18794.0,34.583160550061585
