sensor,13,14,15,16,17
MQ135,10846.442323651452,20113.005952380954,18899.959682749504,18899.959682749504,12285.757735849056
MQ138,8272.85643153527,7875.041666666667,7655.113020489094,7655.113020489094,7153.843018867925
MQ2,17393.526970954357,10572.22619047619,11125.816259087906,11125.816259087906,16138.614339622642
MQ3,12428.787551867219,17777.399470899472,16987.93390614673,16987.93390614673,13006.098867924527
MQ7,8272.234024896266,192.8445767195767,1093.9306014540648,1093.9306014540648,6758.461886792453
MQ8,5134.336929460581,3634.128306878307,3276.748182419035,3276.748182419035,4180.922264150943
Pres.,93.67011618257261,93.23730820105821,93.10975545274292,93.10975545274292,93.53177358490566
Soil,2814.926970954357,2863.4563492063494,2830.230667547918,2830.230667547918,2358.8543396226414
Temp.,31.31858921161826,32.74854497354497,34.12148050231329,34.12148050231329,35.360679245283016
