Coleta_plot,Coleta,Classe,Nematoide,linhas,Soil_indice_0_1_media,Soil_indice_0_1_desvio,Soil_indice_0_1_amplitude,Soil_indice_0_1_max_salto,Soil_indice_0_1_spikes,Temp_C_media,Temp_C_desvio,Temp_C_amplitude,Temp_C_max_salto,Temp_C_spikes,Pres_kPa_media,Pres_kPa_desvio,Pres_kPa_amplitude,Pres_kPa_max_salto,Pres_kPa_spikes,MQ2_media,MQ2_desvio,MQ2_amplitude,MQ2_max_salto,MQ2_spikes,MQ3_media,MQ3_desvio,MQ3_amplitude,MQ3_max_salto,MQ3_spikes,MQ7_media,MQ7_desvio,MQ7_amplitude,MQ7_max_salto,MQ7_spikes,MQ8_media,MQ8_desvio,MQ8_amplitude,MQ8_max_salto,MQ8_spikes,MQ135_media,MQ135_desvio,MQ135_amplitude,MQ135_max_salto,MQ135_spikes,MQ138_media,MQ138_desvio,MQ138_amplitude,MQ138_max_salto,MQ138_spikes,MQ2_corrigido_env_media,MQ2_corrigido_env_desvio,MQ2_corrigido_env_amplitude,MQ2_corrigido_env_max_salto,MQ2_corrigido_env_spikes,MQ3_corrigido_env_media,MQ3_corrigido_env_desvio,MQ3_corrigido_env_amplitude,MQ3_corrigido_env_max_salto,MQ3_corrigido_env_spikes,MQ7_corrigido_env_media,MQ7_corrigido_env_desvio,MQ7_corrigido_env_amplitude,MQ7_corrigido_env_max_salto,MQ7_corrigido_env_spikes,MQ8_corrigido_env_media,MQ8_corrigido_env_desvio,MQ8_corrigido_env_amplitude,MQ8_corrigido_env_max_salto,MQ8_corrigido_env_spikes,MQ135_corrigido_env_media,MQ135_corrigido_env_desvio,MQ135_corrigido_env_amplitude,MQ135_corrigido_env_max_salto,MQ135_corrigido_env_spikes,MQ138_corrigido_env_media,MQ138_corrigido_env_desvio,MQ138_corrigido_env_amplitude,MQ138_corrigido_env_max_salto,MQ138_corrigido_env_spikes,spikes_total_pres_mq,spikes_total_mq
C17,dia 19 - Soja Heterodera Vaso 1,0,Com nematoide,1261,0.794138049808153,0.008465647363623709,0.0505050505050505,0.03097643097643099,0,35.43148295003965,0.735645773369041,2.6000000000000014,0.10000000000000142,0,93.72049167327519,0.0037686217607661803,0.020000000000010232,0.020000000000010232,4,16256.788263283108,1691.7884123365156,7136.0,6648.0,212,12975.723235527359,2068.628562715765,6703.0,5984.0,297,6870.410785091198,1767.3576899251486,7674.0,7653.0,200,4227.8493259318,1767.628586142787,9548.0,9109.0,299,12206.13084853291,3143.4142492501496,10064.0,9483.0,284,7158.440126883426,829.2260058831969,4930.0,4276.0,199,15618.324726783047,1706.177553294226,7409.7998537183485,6647.881575952901,212,11686.213025063555,2088.711561953027,6462.93664094445,6006.94089926271,297,7222.905158242348,1776.8109507061477,7845.722034950171,7650.522825131392,200,4923.023158406131,1735.3375438315788,9705.646332443424,9173.746654567789,299,11942.923645104951,3159.670617090168,9865.826073597527,9481.848628161591,284,9464.568941576732,907.8723701797347,5564.430141200566,4265.690684507642,199,1495,1491
C32,dia 19 - Soja Saudavel Vaso 1,1,Sem nematoide,1271,0.7353779070537529,0.018965298828027513,0.09191919191919184,0.029966329966329974,0,31.146341463414632,1.475532864592324,5.0,0.1999999999999993,7,93.74366640440599,0.004981426563229985,0.01999999999999602,0.01999999999999602,0,10903.687647521636,1203.161448705221,7453.0,7132.0,101,17622.521636506688,386.4479400362546,4977.0,4814.0,12,645.7332808811959,1144.5593322433613,8002.0,7991.0,111,3466.5405192761605,207.4716253500691,3066.0,2666.0,12,19784.112509834777,1008.2041963336585,8265.0,8058.0,33,7888.061369000787,168.7320925773338,668.0,181.0,0,10259.748129482019,1182.0064186489026,7452.426467059109,7160.274979455053,101,16964.6524529526,319.3129237169936,5019.1362232812135,4803.522816828796,12,796.3623538328467,1122.4690033833829,8158.926464719876,7990.522825131392,111,3390.7379673809473,358.3931777209348,3182.799130219959,2729.099488133621,12,20011.21151919377,966.0651893386938,8324.264359267952,8078.159494399286,33,9325.970146555366,224.41011976118995,987.6118744572068,250.2255858367189,0,269,269
C24,dia 11 - Soja Saudavel Vaso 3,1,Sem nematoide,2121,0.10321762334963652,0.011020205342215003,0.05656565656565661,0.025252525252525207,0,41.09660537482319,1.2875667336980303,4.600000000000001,0.3999999999999986,1,93.81123055162658,0.006739361296599204,0.04999999999999716,0.030000000000001137,10,8128.93399339934,419.76267483929934,1418.0,391.0,0,15487.854314002829,569.3660459946803,2200.0,1736.0,0,1119.895803866101,60.52465571455394,201.0,76.0,0,4309.361621876474,96.54948295304511,366.0,74.0,0,20747.27439886846,434.5184410507117,1751.0,923.0,0,12319.185289957568,998.3371854911826,4099.0,3592.0,57,11250.420797745475,564.559133096697,1988.6943107112293,413.4969590240762,0,17068.112856660133,539.0718557070195,2073.9172512318473,1764.318249208427,0,1471.8376178625754,124.65791156909475,447.558623890013,79.18016918574358,0,6093.6422192605205,367.8808015491193,1467.2844588458447,207.79352902134815,0,21344.703884700397,368.41500399811173,1593.0071766629626,971.3844899768519,0,13347.816827564779,1183.74616969711,4967.710482012391,3637.315406640626,57,67,57
C22,dia 11 - Soja Saudavel Vaso 1,1,Sem nematoide,2159,0.10268346581454497,0.0034269068163634998,0.0168350168350168,0.012457912457912404,0,35.37345993515517,1.4172623779504776,5.0,0.3999999999999986,1,93.86472440944883,0.0072109426558631135,0.04999999999999716,0.030000000000001137,23,8950.202408522464,513.4362361166974,2133.0,1099.0,0,16473.247799907364,1221.4906533919668,5531.0,3987.0,7,1558.683649837888,82.1694403597015,388.0,245.0,0,4394.01667438629,115.95073695828206,474.0,226.0,0,21172.6665122742,631.2179643964894,2802.0,1294.0,0,12923.746178786476,718.6614388058499,4685.0,2107.0,6,11888.523167429745,655.5636021019151,2539.0742793435165,1052.24526604731,0,18511.13127828587,1178.800741712483,5424.324053864608,3988.671586771663,7,1747.7339264837817,141.9532245632815,575.2201215467214,230.16867658752494,0,5377.496235958093,427.0661633573325,1727.9871921532485,261.4055211414561,0,22327.828242172025,596.8348816481956,2618.074405402738,1354.970663123171,0,13468.576324979673,1005.1658012989453,5763.082421419638,2103.5635615025476,6,36,13
C23,dia 11 - Soja Saudavel Vaso 2,1,Sem nematoide,2005,0.10654911542692086,0.012395765703562107,0.057575757575757586,0.03367003367003371,0,38.035062344139654,1.346520080040245,4.799999999999997,0.30000000000000426,1,93.85035910224437,0.008894520683860301,0.12000000000000455,0.0799999999999983,21,8118.017955112219,267.40054146851065,1120.0,650.0,0,14652.143640897755,543.4458368233118,2677.0,1341.0,0,1141.9635910224438,25.39620516138427,139.0,64.0,0,4122.668827930174,88.46447944021126,337.0,43.0,0,21081.336658354114,396.7384303462148,1726.0,1129.0,0,11687.479301745636,1208.8064407394447,7929.0,1659.0,10,11188.965738538483,291.3274670625834,1519.278046775864,742.6271582651807,0,16456.501483398748,564.2381549005468,2751.762279178656,1361.421758310962,0,1433.34059797761,68.72925458766979,400.57504105871953,176.71030902111784,0,5553.289434056078,328.9856985713348,1412.547801120114,539.692433194039,0,21987.797454757903,328.11981629828284,1574.9712033081778,1186.3461786681692,0,12605.416850137213,1356.5784263523067,8599.177198436884,1655.5635615025476,11,31,10
C25,dia 11 - Soja Saudavel Vaso 4,1,Sem nematoide,2229,0.07087579851150953,0.008485256646577564,0.053198653198653204,0.021885521885521897,0,41.893494840735755,1.6741293290569694,5.800000000000004,0.3999999999999986,1,93.78234634365185,0.008522560163052853,0.04999999999999716,0.030000000000001137,8,8067.540601166443,316.2642092915551,1085.0,489.0,0,14543.162853297443,599.5259025659444,2468.0,1117.0,0,1031.9223867205026,48.901705778564136,181.0,54.0,0,4528.309555854643,133.3489442645584,424.0,49.0,0,20738.476446837147,370.72270750363214,1570.0,952.0,0,11816.984297891431,836.0466463159635,2719.0,1645.0,9,11216.822339179882,441.2196818006009,1579.2651863794053,451.57419209827276,0,16223.781749658203,504.73488458777206,2315.960298418846,1071.579644435431,0,1334.618286621424,112.62676826945356,426.7242627743019,67.91660372941624,0,6247.232253481433,422.0848322205683,1565.8192296935204,195.46409573461096,0,21279.288688398392,365.7444218600889,1374.650091321946,974.4786236126274,0,12483.187660034488,970.9360467256876,3306.3636112370186,1767.6352728333095,10,17,9
C4,dia 12 - Soja Heterodera Vaso 7,0,Com nematoide,2181,0.047574013094416535,0.0011886543365234043,0.012457912457912494,0.007744107744107699,0,35.19894543787253,1.759348239217615,6.200000000000003,0.6000000000000014,1,93.70718936267767,0.005089600532892826,0.03999999999999204,0.029999999999986926,7,5598.16322787712,969.107238811534,2588.0,650.0,0,14507.214580467675,571.2750777730114,2398.0,1058.0,0,1612.8977533241632,969.3398898784827,2410.0,940.0,0,3802.8899587345254,898.6147799517603,2219.0,873.0,0,19072.524530032097,518.9711142275538,2154.0,1592.0,0,11584.121045392021,1254.5289462919584,4733.0,2805.0,9,7813.855804699494,1089.211932797779,3011.0533454173437,646.0051488716126,0,16874.0932085111,464.92483252734985,2165.2149601059973,1109.3250506912282,0,1394.425372763311,913.8386532717636,2398.507787589552,939.2842376970884,0,3630.3075788243304,706.497973056,2228.5678221149683,872.0117001394992,0,20083.58342716624,463.5459967969404,1894.0950176391307,1659.147177270912,0,9870.039080031605,1291.9573784340657,4846.088948453169,2794.690684507641,9,16,9
C1,dia 11 - Soja Heterodera Vaso 6,0,Com nematoide,2241,0.028737471396998348,0.008729087906806241,0.0791245791245791,0.0282828282828283,0,39.97206604194556,1.7787876256217563,6.299999999999997,0.5,1,93.54168228469432,0.005250756182884653,0.04000000000000625,0.030000000000001137,16,7095.645247657296,258.55310397814895,915.0,273.0,0,14355.811691209281,373.0550290540798,1713.0,682.0,0,588.9201249442214,55.726439217318784,203.0,49.0,0,3260.248103525212,79.99881710743777,285.0,46.0,0,19926.626952253457,281.88270430719484,1406.0,901.0,0,11897.258813029897,579.5865513328548,2378.0,822.0,0,8830.240319701257,410.0647158057603,1565.0015697026747,288.10089824912757,0,16470.50535032114,321.32445728139635,1496.545366987577,720.1830142882063,0,216.5313860006951,132.54135869011787,503.2790977448425,67.94789048874634,0,2918.084791002806,429.4638777042256,1607.4344744337748,206.11126216877892,0,20311.587716153022,250.129767202467,1294.8710130712934,958.1901477046886,0,8997.284241193902,707.5503000955767,3273.9407292100404,957.3585469082573,0,16,0
C28,dia 13 - Soja Saudavel Vaso 1,1,Sem nematoide,2130,0.1721465041652835,0.05762986542994929,0.2441077441077441,0.2063973063973064,233,38.88830985915492,1.9605382304064805,6.900000000000006,0.3999999999999986,1,93.56946009389671,0.007434672683156618,0.04000000000000625,0.020000000000010232,1,20351.471361502347,732.0627299995008,8631.0,6911.0,2,7277.457276995305,118.58840291476392,913.0,619.0,0,20345.5220657277,752.3225386695445,9198.0,7045.0,4,8269.547887323944,665.7312516298614,8818.0,7061.0,5,6481.359154929577,107.65450680467954,471.0,128.0,0,20392.394835680752,352.72489365994255,3919.0,3265.0,2,21587.475798206277,800.9536185809154,9195.225546833235,7004.220799746998,2,8775.178632902158,288.266435052618,1276.277851490422,1024.431293376956,0,20084.285487401485,772.7811141962834,9462.048740337403,7068.8716709046275,4,8035.6521204766395,784.679143823225,9359.050743380325,7060.670566713166,5,6754.870229217211,117.67061203822284,575.9032656147247,356.7535552991976,0,18350.808969186513,617.7025997809415,5280.0473754881605,3418.1824455690894,2,14,13
C3,dia 12 - Soja Heterodera Vaso 6,0,Com nematoide,2132,0.05227604373945833,0.0014424709562921153,0.013468013468013504,0.008754208754208799,0,29.53325515947467,1.7696688745293077,6.200000000000003,0.6000000000000014,14,93.7026125703565,0.00607894193209455,0.03999999999999204,0.030000000000001137,12,6320.501407129456,355.167618273142,1212.0,250.0,0,14579.253283302063,633.0909787246775,2402.0,451.0,0,234.7701688555347,56.40984877091242,282.0,74.0,0,2561.4446529080674,53.57912733070608,277.0,67.0,0,19167.57551594747,559.082777215874,2292.0,1325.0,0,11435.26407129456,821.2902281295849,3561.0,358.0,0,7996.23096507418,517.0759794501298,1896.8579355916227,206.95525239309973,0,17390.664398557772,499.74834421244907,1956.1503757580922,511.82722614027443,0,-272.65169894149517,112.56752171521292,549.9813718030225,93.43898982096766,0,1211.6493908133061,382.791395276489,1499.0256229319855,223.78794143078812,0,20629.538347043308,445.00414645168587,2018.0938486621635,1378.4096322862024,0,8559.363158367481,1183.4229943512125,4999.354115863649,418.49005419753485,0,12,0
