feature,tipo,importancia_media,importancia_desvio,amostra_teste_usada
MQ3,sensor_mq,0.1779942468331661,0.00321745083039254,8000
MQ2,sensor_mq,0.17700423710839747,0.001982267724769339,8000
MQ138,sensor_mq,0.17494846186838106,0.004025891788149972,8000
MQ135,sensor_mq,0.14479187581203395,0.002874474284895711,8000
MQ8,sensor_mq,0.06610083909514097,0.004078035285518984,8000
Soil,ambiente,0.06565560493873719,0.00282643249380499,8000
Temp.,ambiente,0.02847783019831309,0.0022357725747588686,8000
MQ7,sensor_mq,0.019151478589013116,0.0012682543703761903,8000
Pres.,ambiente,0.00034924330617003285,0.0007782647531244856,8000
