feature,tipo,importancia_media,importancia_desvio,amostra_teste_usada
MQ8,sensor_mq,0.15021694560570856,0.003928107963140998,8000
Soil,ambiente,0.10624521813174466,0.002339817558125473,8000
MQ3,sensor_mq,0.024390662336866643,0.0018931515396153342,8000
MQ2,sensor_mq,0.012445567217946341,0.0027240171946094865,8000
MQ7,sensor_mq,0.0062821376895269235,0.0012057883152033681,8000
Pres.,ambiente,0.004969812370094218,0.00029022040671554107,8000
MQ138,sensor_mq,0.0014209473715631304,0.0013220555976526768,8000
Temp.,ambiente,-0.006819058032831693,0.002000195140381958,8000
MQ135,sensor_mq,-0.02342767458630457,0.001847321553047717,8000
