sensores_mantidos,sensores_removidos,qtd_sensores,features,accuracy,balanced_accuracy,f1_macro,cenario,delta_balanced_accuracy_pp_vs_baseline
MQ3 | MQ8,MQ2 | MQ7 | MQ135 | MQ138,2,MQ3_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8782274474338684,0.8736878826401588,0.8751319169094804,2_MQ__MQ3_MQ8,-5.5328248651308805
MQ8 | MQ135 | MQ138,MQ2 | MQ3 | MQ7,3,MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8762378476147411,0.8716728511156675,0.8730657407224902,3_MQ__MQ8_MQ135_MQ138,-5.734328017580015
MQ8,MQ2 | MQ3 | MQ7 | MQ135 | MQ138,1,MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8745647750395659,0.8698752228163993,0.871206631028193,1_MQ__MQ8,-5.914090847506836
MQ3 | MQ7 | MQ8 | MQ135,MQ2 | MQ138,4,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8713542844223378,0.8667013502896548,0.8679595117564007,4_MQ__MQ3_MQ7_MQ8_MQ135,-6.2314781001812865
MQ8 | MQ138,MQ2 | MQ3 | MQ7 | MQ135,2,MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8713090662446303,0.866497795290365,0.8677195143550704,2_MQ__MQ8_MQ138,-6.251833600110269
MQ3 | MQ8 | MQ138,MQ2 | MQ7 | MQ135,3,MQ3_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8680533574496948,0.8631366850855442,0.8642430085693333,3_MQ__MQ3_MQ8_MQ138,-6.587944620592346
MQ7 | MQ8 | MQ135 | MQ138,MQ2 | MQ3,4,MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8673298666063758,0.8626047977395765,0.8637452686087613,4_MQ__MQ7_MQ8_MQ135_MQ138,-6.64113335518911
MQ3 | MQ7 | MQ135,MQ2 | MQ8 | MQ138,3,MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8623558670585575,0.8574285216980326,0.8583765696965058,3_MQ__MQ3_MQ7_MQ135,-7.1587609593435015
MQ3 | MQ7 | MQ8 | MQ135 | MQ138,MQ2,5,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8609088853719196,0.8558523831199905,0.856711595860532,5_MQ__MQ3_MQ7_MQ8_MQ135_MQ138,-7.31637481714772
MQ7 | MQ135,MQ2 | MQ3 | MQ8 | MQ138,2,MQ7_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8604114854171377,0.8555354585667632,0.8564495351499265,2_MQ__MQ7_MQ135,-7.348067272470448
MQ7 | MQ138,MQ2 | MQ3 | MQ8 | MQ135,2,MQ7_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8524078679629211,0.8472554601482944,0.8478270050078733,2_MQ__MQ7_MQ138,-8.17606711431732
MQ7 | MQ8 | MQ138,MQ2 | MQ3 | MQ135,3,MQ7_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8492425955234004,0.8438772095905,0.8442355583160102,3_MQ__MQ7_MQ8_MQ138,-8.51389217009676
MQ3 | MQ7 | MQ135 | MQ138,MQ2 | MQ8,4,MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8487451955686186,0.8433187886833117,0.843624255764188,4_MQ__MQ3_MQ7_MQ135_MQ138,-8.569734260815597
MQ7 | MQ135 | MQ138,MQ2 | MQ3 | MQ8,3,MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8475695229482252,0.842216646789426,0.8425306343558439,3_MQ__MQ7_MQ135_MQ138,-8.679948450204167
MQ3 | MQ7 | MQ8 | MQ138,MQ2 | MQ135,4,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.846212977617002,0.8406657928935655,0.8408106338596439,4_MQ__MQ3_MQ7_MQ8_MQ138,-8.835033839790219
MQ3 | MQ7 | MQ138,MQ2 | MQ8 | MQ135,3,MQ3_corrigido_env | MQ7_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8406059235812797,0.8348784833324685,0.8347005118152624,3_MQ__MQ3_MQ7_MQ138,-9.413764795899915
MQ7,MQ2 | MQ3 | MQ8 | MQ135 | MQ138,1,MQ7_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8285326701333936,0.8224876582907092,0.8215818901323348,1_MQ__MQ7,-10.652847300075841
MQ7 | MQ8,MQ2 | MQ3 | MQ135 | MQ138,2,MQ7_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8277639611123672,0.8216379946969565,0.820617846047939,2_MQ__MQ7_MQ8,-10.737813659451112
MQ3 | MQ7,MQ2 | MQ8 | MQ135 | MQ138,2,MQ3_corrigido_env | MQ7_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8243273796066019,0.8180141899519959,0.8166477281970457,2_MQ__MQ3_MQ7,-11.100194133947172
MQ3 | MQ7 | MQ8,MQ2 | MQ135 | MQ138,3,MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8137011078453539,0.8069123186349196,0.8044544764540731,3_MQ__MQ3_MQ7_MQ8,-12.210381265654801
