faixa,regra_soil,linhas_teste,soil_indice_min,soil_indice_max,soil_indice_mediana,classe_0_com_nematoide,classe_1_sem_nematoide,acertos,erros,accuracy,balanced_accuracy,f1_macro,acerto_classe_0,acerto_classe_1,matriz_confusao
molhado,Soil_indice_0_1 > 0.4,5423,0.6841750841750842,0.9861952861952862,0.9484848484848484,4152,1271,4038,1385,0.7446063064724322,0.6295794240573396,0.6332730898742407,0.8460982658959537,0.41306058221872544,"[[3513, 639], [746, 525]]"
seco,Soil_indice_0_1 <= 0.4,16692,0.0407407407407407,0.3205387205387205,0.076094276094276,6507,10185,16049,643,0.9614785526000479,0.950591670508683,0.9587117494459734,0.901183341017366,1.0,"[[5864, 643], [0, 10185]]"
