Grupo_vaso,Vaso_A,Vaso_B,n_amostras_alinhadas,correlacao_geral_todos_mq,p_valor_correlacao_geral,distancia_media_perfil_mq,erro_medio_alinhado_rmse
doente_vasos_6_a_10,6,7,7809,0.48115487903873444,0.0,0.5210040599848708,0.6145352054108948
doente_vasos_6_a_10,6,8,5396,0.35751448766181193,0.0,0.8955040799262929,0.6074668847268123
doente_vasos_6_a_10,6,9,5389,0.3542302068483517,0.0,0.8628193918808597,0.6076777395009575
doente_vasos_6_a_10,6,10,5207,-0.05024762631003625,6.293345292511511e-19,1.1186842409815194,0.8800632901422888
doente_vasos_6_a_10,7,8,5396,0.2621842630953166,0.0,0.9646106883022164,0.6538333248477206
doente_vasos_6_a_10,7,9,5389,0.242946716609051,0.0,1.0159841668851246,0.6691774975044923
doente_vasos_6_a_10,7,10,5207,-0.13085616208379253,2.3537061642369256e-119,1.2169927949988157,0.9257086820330486
doente_vasos_6_a_10,8,9,5389,0.925499174319808,0.0,0.21600171796872755,0.23428157150563467
doente_vasos_6_a_10,8,10,5207,0.49340033308586934,0.0,0.696756805955655,0.6729515567158998
doente_vasos_6_a_10,9,10,5207,0.502786907798934,0.0,0.6183807402634411,0.6646128646489232
saudavel_vasos_1_a_5,1,2,8205,-0.02123730557691004,2.446840671950076e-06,2.4981352563962114,1.6385149785008537
saudavel_vasos_1_a_5,1,3,6554,-0.25863767232733414,0.0,1.1965504725902427,2.0888991601126294
saudavel_vasos_1_a_5,1,4,7572,0.37892694388422576,0.0,1.327004532363475,1.5309524613459102
saudavel_vasos_1_a_5,1,5,8080,0.541610749823696,0.0,1.2135105124408132,1.3540749786740112
saudavel_vasos_1_a_5,2,3,6554,-0.17664337830641091,4.797354729702039e-273,2.1512838386929194,1.5467141394638193
saudavel_vasos_1_a_5,2,4,7572,-0.02793008782464748,2.612903972296507e-09,1.5274940539003383,1.3608820915229645
saudavel_vasos_1_a_5,2,5,8080,-0.03677935510352627,5.465540062683653e-16,1.7652506243182557,1.453856711253863
saudavel_vasos_1_a_5,3,4,6554,0.09098191037598152,4.673307910967529e-73,0.4583309313019079,1.724401186472818
saudavel_vasos_1_a_5,3,5,6554,0.08323125776480005,2.1175289744218146e-61,0.43963820239803136,1.7945644871997228
saudavel_vasos_1_a_5,4,5,7572,0.836374418165558,0.0,0.4840136324079741,0.7369260623528057
