Grupo_vaso,Vaso_numero,n,indice_mq_geral_media,indice_mq_geral_mediana,magnitude_mq_geral_media,magnitude_mq_geral_mediana
doente_vasos_6_a_10,6,7809,-0.181855952241047,-0.2245029902178558,1.5728503628457897,1.4550418039894382
doente_vasos_6_a_10,7,8016,-0.13094230114170563,-0.12834686694260286,1.3515059870069088,1.3805704747380858
doente_vasos_6_a_10,8,5396,-0.1998995277720417,-0.18513195674239163,1.4723971487848972,1.5003098200525784
doente_vasos_6_a_10,9,5389,-0.26548275991256304,-0.3151430995613579,1.5543503107751429,1.5166931435096773
doente_vasos_6_a_10,10,5207,-0.27655586696199347,-0.3636813433907888,1.8221645643188997,1.6120758788929814
saudavel_vasos_1_a_5,1,8665,0.411922922733936,0.6093951659211133,2.9922837989901168,3.0399734196784327
saudavel_vasos_1_a_5,2,8205,-0.16077713468280844,-0.1771753985754082,1.339581802118057,1.4569058581399783
saudavel_vasos_1_a_5,3,6554,0.3114679679935991,0.049604825917110615,2.6599794102910286,1.6182353531016611
saudavel_vasos_1_a_5,4,7572,0.1608670140137627,0.042151658441198656,2.3078517050515726,1.4701540604480956
saudavel_vasos_1_a_5,5,8080,0.11256629127979229,0.0007058646614780302,2.5496208569869823,1.507809716007662
