feature_set,modelo,fold,accuracy,balanced_accuracy,f1_macro
mq_originais,extra_trees,1,0.8890319811118266,0.8910008346761578,0.8882353808832354
mq_originais,extra_trees,2,0.8715132244544009,0.8473020286256687,0.8600273569433007
mq_originais,extra_trees,3,0.9036877357764262,0.8971386285150469,0.9011579640450822
mq_originais,extra_trees,4,0.9937450093159436,0.9942366646229307,0.9937056742644814
mq_originais,extra_trees,5,0.6998207290352566,0.7142734592571682,0.6952019841142922
mq_originais,extra_trees,media_oof,0.8702974905844019,0.8699493497163231,0.8691786978233014
mq_originais,random_forest,1,0.8835229305287258,0.8860560620072648,0.8827930082591978
mq_originais,random_forest,2,0.7699089463795347,0.7257932668498934,0.7303191890465264
mq_originais,random_forest,3,0.9088459465701748,0.902647590856767,0.9066072994473796
mq_originais,random_forest,4,0.8232632419483631,0.8233743088564062,0.8224192993605908
mq_originais,random_forest,5,0.7031405617156895,0.711959370879901,0.7023048240750337
mq_originais,random_forest,media_oof,0.814890045561621,0.8108924944545043,0.8120899223353388
mq_originais,logistic_scaled,1,0.6116477069471274,0.6154081065198966,0.6111073543458124
mq_originais,logistic_scaled,2,0.7424483306836248,0.73993930651907,0.7372739918328939
mq_originais,logistic_scaled,3,0.7079836784971899,0.6928124440874293,0.6826786700753769
mq_originais,logistic_scaled,4,0.7470721320202289,0.745189401511865,0.7452033942680627
mq_originais,logistic_scaled,5,0.5560719739725117,0.5530845773740263,0.553096129259258
mq_originais,logistic_scaled,media_oof,0.6717306363110603,0.6662264473656131,0.6667731190359734
somente_razoes,extra_trees,1,0.9579308864563211,0.9525613442580467,0.9568849190943944
somente_razoes,extra_trees,2,0.6133111721347015,0.5378257456803562,0.4573261069877823
somente_razoes,extra_trees,3,0.8324736315343753,0.8210820588718961,0.82301344944453
somente_razoes,extra_trees,4,0.9965397923875432,0.9968117719190681,0.9965164562422387
somente_razoes,extra_trees,5,0.7995485027554611,0.8135854951434414,0.7970954617465549
somente_razoes,extra_trees,media_oof,0.842212912417305,0.8333683691217915,0.8374193613384215
somente_razoes,random_forest,1,0.9544251269943479,0.9495966610132297,0.9533663906204533
somente_razoes,random_forest,2,0.5888856771209713,0.5087876176609663,0.40262435309248945
somente_razoes,random_forest,3,0.8252367387789669,0.8133530669297813,0.8147025674122497
somente_razoes,random_forest,4,0.9952089433058291,0.9955855303494788,0.9951776807611614
somente_razoes,random_forest,5,0.8073833078812828,0.820988952229313,0.8052781210239985
somente_razoes,random_forest,media_oof,0.8368104044122833,0.8273233005139276,0.8315099328905999
somente_razoes,logistic_scaled,1,0.9487014380768405,0.9455842656345566,0.9477459715981427
somente_razoes,logistic_scaled,2,0.5669171845642433,0.49051096279897627,0.39458174496559045
somente_razoes,logistic_scaled,3,0.8661944722457464,0.8573124287092405,0.8609567286454903
somente_razoes,logistic_scaled,4,0.8701091296247006,0.8797927503663514,0.869916698705626
somente_razoes,logistic_scaled,5,0.673527654206228,0.6962185188194465,0.6557344803374852
somente_razoes,logistic_scaled,media_oof,0.7839419970942124,0.7808747484756247,0.7812999530441688
mq_mais_razoes,extra_trees,1,0.9590756242398225,0.9538369980403345,0.9580714834582875
mq_mais_razoes,extra_trees,2,0.6201040612805319,0.5448705039769941,0.46709089668937326
mq_mais_razoes,extra_trees,3,0.8477172992532143,0.837362275941457,0.8402681654144717
mq_mais_razoes,extra_trees,4,0.9949427734894863,0.995340282035561,0.9949099933655501
mq_mais_razoes,extra_trees,5,0.7996812960626785,0.8137834125233577,0.7971937808565501
mq_mais_razoes,extra_trees,media_oof,0.8462471612147885,0.8378131938163506,0.8417731311299366
mq_mais_razoes,random_forest,1,0.9548544036631609,0.9500316016849197,0.9538056396883925
mq_mais_razoes,random_forest,2,0.585995085995086,0.5050538254325235,0.39414474462253885
mq_mais_razoes,random_forest,3,0.8707367772730772,0.8619470481828646,0.8657391950710345
mq_mais_razoes,random_forest,4,0.9883550705350014,0.9892703862660944,0.9882915385096036
