feature,limiar_abs_diff_p995
MQ2,2330.279999999999
MQ3,2010.2399999999907
MQ7,2424.0
MQ8,1474.6399999999994
MQ135,2579.1199999999953
MQ138,1171.5999999999985
MQ2_corrigido_env,2329.279174242436
MQ3_corrigido_env,2026.0057471030993
MQ7_corrigido_env,2429.201898097791
MQ8_corrigido_env,1492.7609229734153
MQ135_corrigido_env,2564.5128962928607
MQ138_corrigido_env,1169.4893068915821
