dataset,features_set,sensor,extra_trees_importance,queda_balanced_accuracy_por_permutacao,desvio_permutacao,mutual_info,media_doente_classe_0,media_saudavel_classe_1,diferenca_media_1_menos_0,cohen_d_abs,accuracy_holdout,balanced_accuracy_holdout,f1_macro_holdout,treino_linhas,teste_linhas
antes_dia_20,mq,MQ8,0.3655808398722582,0.20329708682219028,0.0014536567367142567,0.44502790464716835,3209.709248236883,4742.267146735922,1532.5578984990393,0.8720500447813478,0.8966964846202135,0.8958749165776803,0.8960963919068248,45406,25488
antes_dia_20,mq,MQ7,0.2209471871675631,0.06617059754132969,0.001459146982096167,0.5461587181414926,910.8838093332666,4195.955298469287,3285.071489136021,0.5483952984698816,0.8966964846202135,0.8958749165776803,0.8960963919068248,45406,25488
antes_dia_20,mq,MQ2,0.1483357112645893,0.07327599700987171,0.0011410088241571017,0.3587088273977552,9430.80833291652,11817.02695470822,2386.2186217917006,0.5931539083914337,0.8966964846202135,0.8958749165776803,0.8960963919068248,45406,25488
antes_dia_20,mq,MQ138,0.10113026943983978,0.03861530438450532,0.0013958756404667877,0.19002600707649941,9656.322462862001,11774.240192027703,2117.9177291657015,0.5864198453267142,0.8966964846202135,0.8958749165776803,0.8960963919068248,45406,25488
antes_dia_20,mq,MQ135,0.08890254652333401,0.02619923926890716,0.0016985489239049387,0.17727224177957002,19237.510328615015,18403.997520953842,-833.5128076611727,0.21036962807140197,0.8966964846202135,0.8958749165776803,0.8960963919068248,45406,25488
antes_dia_20,mq,MQ3,0.07510344573241562,0.058432529234755226,0.0010633684006594436,0.17971236519493905,15874.39248737058,15426.665840317948,-447.72664705263196,0.15036359345088804,0.8966964846202135,0.8958749165776803,0.8960963919068248,45406,25488
antes_dia_20,mq_ambiente,MQ8,0.24822385629564742,0.1513087408796368,0.0012691707524348657,0.4458554541689672,3209.709248236883,4742.267146735922,1532.5578984990393,0.8720500447813478,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,Soil,0.17167768071040881,0.1030193467829274,0.001439216893549034,0.36195577640325927,1492.7943780323112,1570.916145279975,78.12176724766368,0.06345348999315928,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,MQ7,0.16787077452092714,0.0042013472443517,0.001061199443526286,0.5460529189264713,910.8838093332666,4195.955298469287,3285.071489136021,0.5483952984698816,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,Temp.,0.12231833702402914,-0.009223540714811504,0.0015123582467975595,0.139686866190335,37.60410643725304,34.93632392869791,-2.6677825085551277,0.5349754315507962,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,MQ2,0.10230923363694606,0.008007801892087052,0.000744988654934888,0.3605164863788879,9430.80833291652,11817.02695470822,2386.2186217917006,0.5931539083914337,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,MQ138,0.07490816932375274,-0.000429161704137912,0.0008527258106543242,0.18802897809362507,9656.322462862001,11774.240192027703,2117.9177291657015,0.5864198453267142,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,MQ135,0.05610419130613839,-0.025368777329368597,0.0009803636833408107,0.17695383731527659,19237.510328615015,18403.997520953842,-833.5128076611727,0.21036962807140197,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,MQ3,0.04292432583489246,0.017168610105624663,0.0008002913214670467,0.1790741391955053,15874.39248737058,15426.665840317948,-447.72664705263196,0.15036359345088804,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
antes_dia_20,mq_ambiente,Pres.,0.013663431347257941,0.0030656145460982165,0.0003217818441534731,0.2946581655100533,93.14182163757314,92.8062176838626,-0.33560395371054597,0.09100146902073561,0.8712335216572504,0.864451376296131,0.8680053288146384,45406,25488
dia_20_mais,mq,MQ135,0.19691989506907356,0.0771303148928161,0.0019608136949508907,0.3946210080667447,12046.454292578075,10652.902043692742,-1393.552248885333,0.6980129185679185,0.8188816422538223,0.8085443037974683,0.8082840595540762,17842,9353
dia_20_mais,mq,MQ7,0.1822593526816449,-0.0029243896925859325,0.00034111371122426073,0.5366584460268582,2770.82071058288,1196.4957213329305,-1574.3249892499496,0.42794927264694316,0.8188816422538223,0.8085443037974683,0.8082840595540762,17842,9353
dia_20_mais,mq,MQ8,0.17239065779684917,-0.009903534232209493,0.0008762669502667321,0.40307848083033315,3724.6981919332407,3942.8974126648545,218.19922073161388,0.1994586328197611,0.8188816422538223,0.8085443037974683,0.8082840595540762,17842,9353
dia_20_mais,mq,MQ2,0.1645817383381467,0.040500236151727015,0.0013733253429633234,0.4014061204499806,6437.195599949425,4453.571931944025,-1983.6236680053998,0.8481659996177116,0.8188816422538223,0.8085443037974683,0.8082840595540762,17842,9353
