Coleta,Dia,Vaso,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe,cluster_kmeans
dia 11 - Soja Heterodera Vaso 6,11,6,6820,14153,485,3096,19871.0,12646.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6816,14089,484,3097,19878.0,12657.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6844,14229,487,3096,19863.0,12657.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6824,14099,484,3097,19894.0,12657.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6766,13698,479,3091,20018.0,12656.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6753,13517,477,3090,20061.0,12654.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6800,13892,482,3093,19961.0,12655.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6800,13932,482,3095,19948.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6803,13948,482,3094,19941.0,12654.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6801,13916,480,3092,19953.0,12653.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6809,13998,481,3094,19921.0,12653.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6807,14027,481,3096,19915.0,12654.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6840,14174,485,3099,19875.0,12653.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6831,14112,484,3098,19893.0,12653.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6827,14093,483,3096,19899.0,12633.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6799,13875,480,3092,19965.0,12650.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6797,13868,479,3094,19975.0,12647.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6720,13578,481,3093,19942.0,12647.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6811,13978,481,3094,19931.0,12646.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6803,13903,480,3095,19930.0,12645.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6788,13791,477,3093,19995.0,12643.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6786,13647,478,3091,20004.0,12640.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6799,13876,479,3094,19960.0,12639.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6818,14015,481,3095,19913.0,12639.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6817,14016,481,3095,19920.0,12638.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6822,14039,482,3095,19913.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6823,14045,481,3095,19915.0,12639.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6827,14063,482,3095,19910.0,12638.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6824,14072,481,3097,19906.0,12638.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6829,14087,481,3097,19900.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6825,14011,481,3097,19911.0,12637.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6825,14080,480,3096,19909.0,12637.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6830,14084,480,3095,19903.0,12639.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6829,14074,480,3095,19908.0,12639.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6833,14106,480,3096,19871.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6831,14004,480,3095,19932.0,12638.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6838,14134,480,3096,19896.0,12640.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6832,14078,480,3097,19910.0,12638.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6825,14031,478,3096,19922.0,12639.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6834,14087,480,3094,19910.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6818,14028,479,3095,19929.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6838,14112,479,3096,19903.0,12639.0,0,0
