k,inertia,silhouette_amostra
2,124855.68364759251,0.7475910556190565
3,84925.42835584219,0.5037901875540511
4,56534.52942937377,0.5589455154146651
5,31954.53923041372,0.6095329137173078
6,23275.020537545075,0.5809582723795393
7,19452.76566730383,0.5704940639789318
8,16961.797993189255,0.49591443587502015
