Coleta,Dia,Vaso,Classe,linhas_originais,linhas_removidas_inicio,linhas_removidas_fim,linhas_mantidas,tempo_inicio_s,tempo_primeiro_mantido_s,tempo_ultimo_mantido_s,tempo_fim_s,removido_inicio_min,removido_fim_min,removido_total_min,duracao_original_min,duracao_mantida_min
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,1719,257,257,1205,0.16,69.64,404.03,476.11,1.1580000000000001,1.201333333333334,2.359333333333334,7.9325,5.573166666666666
dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,2158,323,323,1512,0.17,87.78,509.21,599.12,1.4601666666666666,1.4985000000000004,2.9586666666666672,9.9825,7.023833333333332
dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,2161,324,324,1513,0.16,88.26,508.06,598.53,1.4683333333333335,1.507833333333333,2.9761666666666664,9.972833333333334,6.996666666666667
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,2161,324,324,1513,0.16,88.26,508.06,598.53,1.4683333333333335,1.507833333333333,2.9761666666666664,9.972833333333334,6.996666666666667
dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,1891,283,283,1325,0.16,82.36,476.39,560.39,1.37,1.4,2.77,9.337166666666667,6.567166666666666
dia 20 sem pressao - Soja Heter,20.0,,0,2255,338,338,1579,0.17,73.57,416.41,489.91,1.2233333333333332,1.225,2.448333333333333,8.162333333333333,5.714
Página3,,,0,2225,333,333,1559,0.16,71.96,409.74,482.0,1.1966666666666665,1.2043333333333333,2.4010000000000002,8.030666666666667,5.629666666666667
Página4,,,0,2246,336,336,1574,0.16,71.74,409.38,481.47,1.193,1.2015000000000005,2.3945000000000003,8.021833333333333,5.6273333333333335
Página5,,,0,2256,338,338,1580,0.17,73.51,417.42,489.85,1.2223333333333335,1.2071666666666667,2.4295,8.161333333333333,5.731833333333333
Página6,,,0,1982,297,297,1388,0.16,64.17,364.69,429.47,1.0668333333333335,1.0796666666666672,2.1465000000000005,7.155166666666667,5.008666666666667
dia 21 sem pressao - Soja Heter,21.0,,0,2392,358,358,1676,0.16,80.03,458.62,539.91,1.3311666666666668,1.3548333333333327,2.6859999999999995,8.995833333333334,6.309833333333334
Página7,,,0,2078,311,311,1456,0.16,70.23,399.41,469.88,1.1678333333333335,1.1744999999999994,2.342333333333333,7.828666666666666,5.4863333333333335
Página8,,,0,2171,325,325,1521,0.17,73.21,416.6,490.15,1.2173333333333332,1.2258333333333327,2.4431666666666656,8.166333333333332,5.723166666666668
dia 20 sem pressao - Soja Sauda,20.0,,1,2014,302,302,1410,0.17,63.84,365.66,429.94,1.0611666666666666,1.0713333333333328,2.1324999999999994,7.162833333333333,5.030333333333334
Página9,,,1,2266,339,339,1588,0.16,72.78,416.06,490.07,1.2103333333333335,1.2334999999999998,2.443833333333333,8.165166666666666,5.721333333333333
Página10,,,1,2246,336,336,1574,0.16,73.07,416.43,489.91,1.2151666666666665,1.224666666666667,2.4398333333333335,8.1625,5.722666666666667
Página11,,,1,2288,343,343,1602,0.16,74.65,424.33,499.31,1.2415,1.249666666666667,2.491166666666667,8.319166666666666,5.827999999999999
Página12,,,1,2016,302,302,1412,0.16,66.1,373.91,440.16,1.099,1.1041666666666667,2.2031666666666667,7.333333333333333,5.130166666666668
dia 21 sem pressao - Soja Sauda,21.0,,1,2732,409,409,1914,0.17,90.62,518.68,609.95,1.5075,1.5211666666666683,3.028666666666668,10.163000000000002,7.134333333333332
Página13,,,1,2733,409,409,1915,0.16,90.58,518.13,609.91,1.5070000000000001,1.5296666666666663,3.0366666666666666,10.1625,7.1258333333333335
Página14,,,1,2777,416,416,1945,0.17,91.96,526.78,620.07,1.5298333333333332,1.5548333333333346,3.084666666666668,10.331666666666669,7.247
Página15,,,1,2144,321,321,1502,0.17,71.53,410.31,482.94,1.1893333333333334,1.2105,2.3998333333333335,8.046166666666666,5.646333333333333
