,min,median,mean,max
removido_inicio_min,1.0611666666666666,1.4151666666666667,1.6009433962264152,2.5996666666666663
removido_fim_min,1.0713333333333328,1.4859999999999995,1.6323081761006288,2.6328333333333336
removido_total_min,2.1324999999999994,2.927666666666667,3.233251572327044,5.2299999999999995
duracao_original_min,7.155166666666667,9.731,10.81437421383648,17.459833333333332
duracao_mantida_min,5.008666666666667,6.8453333333333335,7.581122641509435,12.240499999999999
