feature,tipo,importancia
MQ8,mq_cru,0.21064406017941503
Pres_kPa,ambiente_confirmado,0.1899925847159536
Soil_indice_0_1,ambiente_confirmado,0.13157431866283198
MQ7,mq_cru,0.13074177312624133
Temp_C,ambiente_confirmado,0.11817068206752568
MQ2,mq_cru,0.07962485778740777
MQ138,mq_cru,0.058199419385349914
MQ135,mq_cru,0.04372210318281508
MQ3,mq_cru,0.03733020089245956
