feature,tipo,importancia_media,importancia_desvio,amostra_teste_usada
Pres_kPa,ambiente_confirmado,0.06793212439733447,0.0035425941316163654,8000
MQ8,mq_cru,0.020346391485434778,0.0010235731893731821,8000
MQ7,mq_cru,0.016906613580385678,0.0033034641248279786,8000
MQ138,mq_cru,0.01438088818845884,0.0017077423489104597,8000
MQ3,mq_cru,0.010223111078928548,0.0011591577471119707,8000
MQ135,mq_cru,0.006471159878587418,0.0018100092826556593,8000
MQ2,mq_cru,-0.0035495947712613773,0.001275908290299208,8000
Soil_indice_0_1,ambiente_confirmado,-0.006104134428050245,0.0016854801312482554,8000
Temp_C,ambiente_confirmado,-0.03070066124610813,0.0017037505873230042,8000
