feature,tipo,importancia
Temp.,ambiente,0.17296487913329153
Pres.,ambiente,0.14512903273514455
Soil,ambiente,0.12146488489532124
MQ135,sensor_mq,0.11152840038486891
MQ7,sensor_mq,0.10388525733518883
MQ8,sensor_mq,0.09659556249687772
MQ2,sensor_mq,0.08469451321919157
MQ138,sensor_mq,0.08200327056341088
MQ3,sensor_mq,0.08173419923670482
