Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,550.85,1,1,0.9467726680845538,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,92.55,0,1,0.7359907062743035,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,574.87,1,1,0.9722151714467208,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,466.5,0,0,0.12027291622267555,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,207.35,1,1,0.9788226710192461,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,461.75,1,1,0.9195573773033082,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,474.78,1,1,0.9207207558489282,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,605.46,1,1,0.9628360194194217,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,422.65,0,0,0.4535423606790737,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,373.54,1,1,0.6911753277114061,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,196.78,0,0,0.18778749278479365,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,509.03,1,1,0.9209291125794088,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,715.4,1,1,0.8527448920022832,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,253.93,0,0,0.23894624226193822,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,177.33,0,0,0.20838115553509234,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,539.08,1,1,0.9389099732344588,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,373.25,1,1,0.8644316973066475,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,677.0,1,1,0.9718523980549444,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,292.19,0,1,0.5719395943009397,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,484.3,0,0,0.48431893573866447,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,719.37,1,1,0.9366509317990178,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,194.55,1,1,0.9999811401666696,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,306.71,1,1,0.6731596802300298,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,346.11,0,1,0.5053877740266378,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,254.46,1,1,0.9999840737933655,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,720.13,1,1,0.9230070642857537,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,225.35,1,0,0.47158490402958475,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,243.46,0,1,0.5909744182695678,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,374.9,1,1,0.9762551857445104,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,612.08,1,1,0.9210718673506317,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,365.49,0,0,0.30513637901486496,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,185.05,0,0,0.18188326372518598,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,284.07,0,0,0.44815490049807255,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,560.33,0,0,0.08302065282935342,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,272.55,1,1,0.9651392623151882,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,378.58,0,1,0.5432098438638692,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,455.4,1,1,0.9173300037100288,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,690.31,1,1,0.9382522389885602,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,167.78,1,1,0.9168027470064519,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,456.92,0,0,0.36348387208491495,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,447.52,0,1,0.5109605303968676,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,188.37,0,0,0.17300429888240113,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,197.83,1,1,0.9548084571707524,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,231.7,0,1,0.61715449182002,False
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,719.2,0,0,0.16854571863833842,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,480.86,0,0,0.431617685628418,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,187.44,0,0,0.123397026654333,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,270.02,0,0,0.1211258617605243,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,214.07,0,0,0.4431885474185019,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,461.91,1,1,0.9764804941649741,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,584.22,1,1,0.9775351400110984,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,636.26,0,0,0.34586733731950475,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,154.99,0,0,0.14672627500683127,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,566.64,0,0,0.37246160475420176,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,450.52,1,1,0.9122746857342742,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,270.55,0,0,0.21769196130730478,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,202.62,1,0,0.4078452724262968,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,705.05,1,1,0.9287358763970325,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,722.11,1,1,0.9366509317990178,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,537.11,1,1,0.9475236434732583,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,325.67,0,0,0.16186348622153143,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,277.84,0,1,0.5595446673107471,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,681.36,1,1,0.8801660093920328,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,469.31,1,1,0.9776209547273951,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,206.69,0,0,0.22270477463222849,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,565.87,0,0,0.3745250968176938,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,367.73,1,1,0.9750724257338416,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,637.36,1,1,0.9719891961433552,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,231.27,0,0,0.44799912270650005,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,211.27,0,1,0.6045194619067662,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,397.98,1,1,0.9966260491020075,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,674.26,1,1,0.9438194645889534,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,737.78,0,1,0.5050706096726945,False
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,221.75,1,1,0.9966506104088383,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,578.98,1,1,0.9764240288999874,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,303.89,0,1,0.5100839203736381,False
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,527.04,0,0,0.12882101506507018,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,405.67,1,1,0.994391614975231,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,648.74,0,0,0.3558961482623137,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,353.19,1,1,0.8337278226495832,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,599.93,0,0,0.15262671743187384,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,264.94,1,1,0.6530497203621504,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,520.26,1,1,0.9809158700944364,True
