classe,rotulo,linhas_total,linhas_treino,linhas_teste,coletas_total,coletas_treino,coletas_teste,coletas_treino_lista,coletas_teste_lista
0,Com nematoide,29044,18385,10659,17,11,6,dia 11 - Soja Heterodera Vaso 6 | dia 11 - Soja Heterodera Vaso 7 | dia 12 - Soja Heterodera Vaso 6 | dia 12 - Soja Heterodera Vaso 9 | dia 18 - Soja Heterodera Vaso 1 | dia 18 - Soja Heterodera Vaso 7 | dia 18 - Soja Heterodera Vaso 8 | dia 19 - Soja Heterodera Vaso 1 | dia 19 - Soja Heterodera Vaso 7 | dia 19 - Soja Heterodera Vaso 8 | dia 19 - Soja Heterodera Vaso 9,dia 12 - Soja Heterodera Vaso 1 | dia 12 - Soja Heterodera Vaso 7 | dia 12 - Soja Heterodera Vaso 8 | dia 18 - Soja Heterodera Vaso 6 | dia 18 - Soja Heterodera Vaso 9 | dia 19 - Soja Heterodera Vaso 6
1,Sem nematoide,34448,22992,11456,19,13,6,dia 11 - Soja Saudavel Vaso 2 | dia 11 - Soja Saudavel Vaso 5 | dia 12 - Soja Saudavel Vaso 2 | dia 13 - Soja Saudavel Vaso 3 | dia 13 - Soja Saudavel Vaso 5 | dia 18 - Soja Saudavel Vaso 1 | dia 18 - Soja Saudavel Vaso 2 | dia 18 - Soja Saudavel Vaso 4 | dia 18 - Soja Saudavel Vaso 5 | dia 19 - Soja Saudavel Vaso 2 | dia 19 - Soja Saudavel Vaso 3 | dia 19 - Soja Saudavel Vaso 4 | dia 19 - Soja Saudavel Vaso 5,dia 11 - Soja Saudavel Vaso 1 | dia 11 - Soja Saudavel Vaso 3 | dia 11 - Soja Saudavel Vaso 4 | dia 13 - Soja Saudavel Vaso 1 | dia 13 - Soja Saudavel Vaso 4 | dia 19 - Soja Saudavel Vaso 1
