Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,457.49,1,0,0.3029339229519397,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,433.11,1,1,0.7726016687061614,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,226.08,1,1,0.6662085001556979,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,216.48,0,0,0.0496990675852726,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,207.69,0,0,0.2262682247147692,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,452.47,0,0,0.10944665440735392,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,449.62,1,1,0.9951706567197901,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,191.91,0,1,0.5194787508889187,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,534.27,1,1,0.7242092593098981,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,589.83,1,1,0.7296429150045974,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,425.19,1,0,0.3096055909282238,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,464.62,0,0,0.47188497996645434,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,447.54,0,0,0.327468926175637,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,190.01,1,1,0.9986832054866108,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,372.37,0,0,0.22489606825088546,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,545.04,0,0,0.32916525856706813,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,643.71,1,1,0.7450871607505398,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,154.6,0,0,0.1393629487797088,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,447.67,1,1,0.6865633675218031,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,379.31,1,1,0.5986549815855639,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,410.19,0,0,0.34386486599685673,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,580.6,0,0,0.3230072772459934,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,516.45,1,1,0.998000074862749,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,233.97,1,1,0.998674683061981,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,448.72,0,0,0.3225757637824746,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,592.89,1,1,0.9985106935892386,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,278.45,0,0,0.31670379958885986,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,370.92,1,1,0.9981640643354913,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,437.39,0,0,0.07492454687364378,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,638.51,0,0,0.17772149408557486,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,193.18,1,1,0.9929710443166894,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,267.61,0,0,0.047309816062209076,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,133.29,1,1,0.9987058153057323,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,152.79,0,0,0.1597542626266028,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,319.0,1,1,0.994059545608679,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,443.39,0,0,0.08932158028854568,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,350.42,0,1,0.752065682176098,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,243.44,1,1,0.998674683061981,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,359.91,0,0,0.30938312238603166,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,141.0,0,0,0.14476660696041774,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,267.87,1,1,0.6536618109268171,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,727.35,0,0,0.1316268085859155,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,429.35,1,1,0.7683276716235999,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,229.83,0,1,0.5213658871123988,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,298.64,0,0,0.4609447041499774,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,506.41,1,1,0.7219302486867404,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,548.85,0,0,0.11522402329286549,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,335.22,0,0,0.2688787774618878,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,201.24,1,1,0.9301158801350935,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,421.21,1,1,0.9981640643354913,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,395.94,0,0,0.051782038284431293,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,156.28,0,0,0.14238850955174848,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,316.97,1,1,0.9951706567197901,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,259.18,1,0,0.4373990363028354,False
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,259.62,0,1,0.7185738174343127,False
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,219.42,1,0,0.3244733282183754,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,628.42,1,1,0.9200716505376765,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,164.43,1,1,0.9263884065788822,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,145.65,0,0,0.1839599080372426,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,357.47,0,0,0.08461878114061053,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,517.39,1,1,0.9098496064537261,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,149.32,1,1,0.9200823545299421,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,105.69,0,0,0.336493925010759,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,658.37,1,1,0.8841092106125601,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,427.87,1,1,0.998000074862749,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,670.99,1,1,0.8772453286240799,True
