Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,141.33,0,0,0.4497497578315691,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,319.71,0,0,0.4058498967213428,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,585.03,1,1,0.9443919843435626,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,344.41,1,1,0.6770746575920397,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,361.84,0,0,0.37794422263454425,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,709.99,1,1,0.92375493425745,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,535.92,1,1,0.9017549001718137,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,182.97,0,0,0.4566702634767329,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,300.73,0,0,0.2164632871639809,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,448.78,1,1,0.5446206298534204,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,140.23,0,0,0.2111813756967616,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,616.0,1,1,0.997340016389242,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,560.45,1,1,0.9380766416774358,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,386.44,1,0,0.4552123673094839,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,723.14,1,1,0.8884378634487531,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,203.56,0,0,0.3921967125978985,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,231.92,0,0,0.24418150392027355,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,626.87,0,1,0.6321233893161476,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,482.1,1,1,0.997340016389242,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,641.54,1,1,0.997340016389242,True
