Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,596.55,1,1,0.9269526646642137,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,728.94,1,1,0.8894062030199048,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,121.07,1,0,0.42543722207574886,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,573.57,0,0,0.3740949033422418,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,109.3,0,0,0.07049102591035376,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,733.44,0,1,0.572189283896235,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,94.81,0,1,0.6730628256492585,False
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,136.35,1,0,0.4284811001115959,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,679.78,1,1,0.9350572929450337,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,711.23,1,1,0.9440924452675545,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,480.28,1,1,0.9861430197002018,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,242.7,0,0,0.3360482184130649,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,202.48,0,0,0.05347055202271845,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,151.39,0,0,0.2967699593176205,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,401.31,1,1,0.6127149356524386,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,426.89,0,0,0.2369810444949252,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,415.38,0,0,0.2598204730248589,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,386.76,0,0,0.032434930263786244,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,365.19,1,1,0.9999865178439018,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,239.41,0,0,0.17122433460035816,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,673.4,0,1,0.6448345463299803,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,198.87,1,1,0.9990840701960852,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,255.53,0,0,0.04514894325066514,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,270.12,1,1,0.896379513364299,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,314.9,1,1,0.5125065958404432,True
