cenario,linhas_avaliadas,accuracy,balanced_accuracy,f1_macro,linhas_treino,coletas_removidas
baseline_recalculada,22115,0.9082975356093149,0.9073036690084336,0.9079631495525959,41377,
sem_C16,22115,0.9311779335292788,0.9290161312914677,0.9305714131589107,39936,C16
sem_C17_ruidosa,22115,0.8944155550531313,0.8921325157458669,0.8934437190264115,40116,C17
sem_C29_C31_soil_treino,22115,0.7612932398824327,0.7664213671689306,0.7581124266557455,37181,C29 | C31
sem_C15_C16,22115,0.9069409902780918,0.9039807540287773,0.9056999699998045,38614,C15 | C16
sem_criticas_do_treino,22115,0.9318562061948903,0.929318355924204,0.9311123871450644,34479,C16 | C17 | C29 | C31
