threshold,accuracy,balanced_accuracy,f1_macro
0.7200000000000002,0.5157880379185705,0.5108649797886224,0.5088155991869086
0.7500000000000002,0.5173566118802427,0.5101216974012077,0.504319547075254
0.7700000000000002,0.5181067994271296,0.5094386993071318,0.5002862307581124
0.21000000000000002,0.48318897906294755,0.5094117756812302,0.34353852588892947
0.7600000000000002,0.5157198390506718,0.5076505544718314,0.49994915781369964
0.7100000000000002,0.5106049239582623,0.5065259006960401,0.5053381999526125
0.2,0.4797790356680079,0.5062709751931346,0.3351467138929769
0.7800000000000001,0.515310645843279,0.5060434397684157,0.4951525387463863
0.8800000000000002,0.5323603628179773,0.5059548884665941,0.35983996666263957
0.7300000000000002,0.5114915092409466,0.5056713321224232,0.5023437107804413
0.7400000000000002,0.5117643047125418,0.5051960359018994,0.5006038833588438
0.8900000000000002,0.5314737775352929,0.5049005477082733,0.3558081168522219
0.7000000000000002,0.507058582827525,0.5039237686359349,0.5034325248569157
0.6800000000000002,0.505421809997954,0.5034863483409692,0.5034457300229789
0.6900000000000002,0.505762804337448,0.5034575589059268,0.5033310704620428
0.19,0.47630089340516946,0.5029700043193481,0.32790431748676424
0.9000000000000002,0.5284048284798473,0.5016575381954453,0.34870989091181676
0.18000000000000005,0.47377753529291416,0.5005751823128757,0.3225988179636193
0.6700000000000002,0.5022164632067108,0.5005103547742791,0.5004982055569035
0.16000000000000003,0.4733001432176226,0.5001294498381877,0.321477407598707
0.17000000000000004,0.4733001432176226,0.5001221078792187,0.32159016733041196
0.13,0.4732319443497238,0.5000647249190938,0.32133313678679976
0.14,0.4732319443497238,0.5000647249190938,0.32133313678679976
0.15000000000000002,0.4732319443497238,0.5000647249190938,0.32133313678679976
0.9100000000000003,0.526836254518175,0.5,0.34505092013578703
0.9200000000000003,0.526836254518175,0.5,0.34505092013578703
0.9300000000000002,0.526836254518175,0.5,0.34505092013578703
0.9400000000000002,0.526836254518175,0.5,0.34505092013578703
0.9500000000000002,0.526836254518175,0.5,0.34505092013578703
0.05,0.473163745481825,0.5,0.3211888338502847
0.060000000000000005,0.473163745481825,0.5,0.3211888338502847
0.07,0.473163745481825,0.5,0.3211888338502847
0.08000000000000002,0.473163745481825,0.5,0.3211888338502847
0.09000000000000001,0.473163745481825,0.5,0.3211888338502847
0.1,0.473163745481825,0.5,0.3211888338502847
0.11000000000000001,0.473163745481825,0.5,0.3211888338502847
0.12000000000000001,0.473163745481825,0.5,0.3211888338502847
0.6600000000000001,0.5003750937734434,0.49888759526121795,0.4988871606230355
0.7900000000000001,0.5086271567891973,0.49866518148259065,0.48541874010044483
0.6500000000000001,0.4996931050944554,0.49845326288038017,0.4984465648793742
0.8700000000000002,0.5174930096160404,0.49627205736243624,0.4129397386060868
0.6400000000000001,0.4968969515106049,0.4958656188282532,0.49583803198092063
0.22000000000000003,0.46954920548318896,0.4942274943769177,0.3469601408496512
0.6300000000000001,0.4874173088726727,0.4869349327049288,0.4867842140013895
0.8000000000000002,0.496214962831617,0.4854682481264944,0.4690268109996819
0.8200000000000002,0.49778353679328924,0.4850994056464982,0.4606588993954971
0.8300000000000002,0.49560117302052786,0.48219122491302996,0.45409849665041957
