modelo,linhas_treino,linhas_teste,coletas_treino,coletas_teste,accuracy,balanced_accuracy,f1_macro
Random Forest,41377,22115,24,12,0.923671716029844,0.922038623627527,0.9231979119708777
SVM linear,41377,22115,24,12,0.9194212073253448,0.9164608841585336,0.9183380191439281
Extra Trees,41377,22115,24,12,0.9082975356093149,0.9073036690084336,0.9079631495525959
MLP,41377,22115,24,12,0.8745195568618584,0.8756111727388558,0.874519355712378
