feature,tipo,importancia
MQ8,sensor_mq,0.21064406017941503
Pres.,ambiente,0.1899925847159536
Soil,ambiente,0.13157431866283198
MQ7,sensor_mq,0.13074177312624133
Temp.,ambiente,0.11817068206752568
MQ2,sensor_mq,0.07962485778740777
MQ138,sensor_mq,0.058199419385349914
MQ135,sensor_mq,0.04372210318281508
MQ3,sensor_mq,0.03733020089245956
