modelo,fold,accuracy,balanced_accuracy,f1_macro
minmax_knn,1,0.6418086721781677,0.648957683302223,0.5994217841538678
minmax_knn,2,0.8735959050191953,0.8718113818706188,0.8720299243897675
minmax_knn,3,0.8308661878938883,0.7912732036049908,0.8064121333068979
minmax_knn,4,0.794640415641236,0.7778976215669701,0.7827072124818026
minmax_knn,5,0.6675611210494932,0.6221968852518442,0.6246537312713784
minmax_knn,6,0.5386061501275682,0.53326874481372,0.5252076677837978
minmax_knn,7,0.4283068783068783,0.4300081399275031,0.4238082890663112
minmax_knn,8,0.8472263868065967,0.8134787341959355,0.8274716155164541
minmax_knn,9,0.807980683695514,0.7975846194304139,0.7982282389090016
minmax_knn,10,0.8128065756330373,0.8125786917449073,0.8125890186307425
minmax_knn,media,0.7235591164273423,0.711629395044125,0.713275665566343
minmax_svm_linear,1,0.8663742196726844,0.8634953464322648,0.86309718377389
minmax_svm_linear,2,0.38575287928337837,0.3526800412903158,0.303026966316879
minmax_svm_linear,3,0.5013923494064194,0.4934539499478246,0.48941530581700865
minmax_svm_linear,4,0.5862729012852065,0.5863940686648059,0.584392268897186
minmax_svm_linear,5,0.7953190220632081,0.8351344860710854,0.7950411310421841
minmax_svm_linear,6,0.3823015979589096,0.37153740657474055,0.3149525061041183
minmax_svm_linear,7,0.16164021164021164,0.16455696202531644,0.13914825780004555
minmax_svm_linear,8,0.7137931034482758,0.7710482130007196,0.7134189671363024
minmax_svm_linear,9,1.0,1.0,1.0
minmax_svm_linear,10,0.7847010473286491,0.7835055985915989,0.7797672469241064
minmax_svm_linear,media,0.6137331791124778,0.6151115454277744,0.6127839991394227
minmax_random_forest,1,0.4783195545807322,0.48570552397434347,0.410144431587084
minmax_random_forest,2,0.9300440779183847,0.9225437155000363,0.9279858165876396
minmax_random_forest,3,0.8434706140993697,0.806128884616643,0.8216408244067637
minmax_random_forest,4,0.7573147388569866,0.7350048017108326,0.7371241857513608
minmax_random_forest,5,0.832737030411449,0.7794811320754718,0.7991825757029993
