avaliacao,modelo,fold,iteracoes,accuracy,balanced_accuracy,f1_macro
stratified_group_kfold,mlp_64_32_tanh,1,103,0.9288444336016914,0.9325273746339899,0.9285195723922056
stratified_group_kfold,mlp_64_32_tanh,2,79,0.8654647504039459,0.8635889172926389,0.8643372691102186
stratified_group_kfold,mlp_64_32_tanh,3,103,0.7046352383460627,0.6933753374717985,0.6950893920971264
stratified_group_kfold_media,mlp_64_32_tanh,media,,0.8329814741172333,0.8298305431328091,0.8293154111998501
stratified_group_kfold,mlp_64_32_robust,1,123,0.9267707570952265,0.9310413574429344,0.9264896001112071
stratified_group_kfold,mlp_64_32_robust,2,58,0.8577685177310996,0.8556370916481142,0.8565048258656713
stratified_group_kfold,mlp_64_32_robust,3,138,0.6638574313054165,0.6477062711794939,0.6480785335552813
stratified_group_kfold_media,mlp_64_32_robust,media,,0.8161322353772476,0.8114615734235141,0.8103576531773866
