Classe,Sensor,Tempo_Normalizado,mean,std
0,MQ135,0,0.439360211875381,0.3177001547960214
0,MQ135,1,0.4522688433266908,0.31842734882958396
0,MQ135,2,0.4013297218948424,0.3109464487492645
0,MQ135,3,0.39381597201101404,0.32657139807177615
0,MQ135,4,0.4539274433441157,0.33009138725307
0,MQ135,5,0.46676534589813273,0.32312060189499753
0,MQ135,6,0.4173955959112985,0.315231502493622
0,MQ135,7,0.5411479196107414,0.2877201877562903
0,MQ135,8,0.5628097313341737,0.3040213477280365
0,MQ135,9,0.5433761947991891,0.28482771967330783
0,MQ135,10,0.42584510662403885,0.2865317454686557
0,MQ135,11,0.38469896232896333,0.30976270014169566
0,MQ135,12,0.41642844709455934,0.3095047616814729
0,MQ135,13,0.36817577564318005,0.31392595275785046
0,MQ135,14,0.3854407648557017,0.31377782432737616
0,MQ135,15,0.4017484199581129,0.31056775171503936
0,MQ135,16,0.5030220685359863,0.33231142365280564
0,MQ135,17,0.46891257455924285,0.3404286853609774
0,MQ135,18,0.4668911396248995,0.33881535725785894
0,MQ135,19,0.4824050631997152,0.3262954445414811
0,MQ135,20,0.5001821232294568,0.3367997725666397
0,MQ135,21,0.5005053644412206,0.3443795729479006
0,MQ135,22,0.5217934829845008,0.3175778009928794
0,MQ135,23,0.5823444588731039,0.3043639108277037
0,MQ135,24,0.6081514582387088,0.3065995782044145
0,MQ135,25,0.6421520689033132,0.30628732313484713
0,MQ135,26,0.6022884848441579,0.29923542004327636
0,MQ135,27,0.5687396579192762,0.3137054929573344
0,MQ135,28,0.5626920673843366,0.2817077322571948
0,MQ135,29,0.5462646338055104,0.24816856905763418
0,MQ135,30,0.5173857402834564,0.2562399806701287
0,MQ135,31,0.5049324612069559,0.2455940980117097
0,MQ135,32,0.5003073945074492,0.27633705350396814
0,MQ135,33,0.5216784255399441,0.271188485887998
0,MQ135,34,0.5488775892057969,0.23558428578714435
0,MQ135,35,0.5325887679593101,0.2618177254789453
0,MQ135,36,0.5429160246086276,0.24457467146688772
0,MQ135,37,0.5692106278406569,0.2282234197855043
0,MQ135,38,0.5631282911292418,0.25175240746075744
0,MQ135,39,0.5707963697431013,0.2563743692752229
0,MQ135,40,0.5648922329822806,0.25372197169273125
0,MQ135,41,0.6353225439105983,0.2379079313825198
0,MQ135,42,0.6404270164087074,0.23565133463789611
0,MQ135,43,0.6760972553819777,0.17577832844838545
0,MQ135,44,0.6592587548294062,0.22578212371143697
0,MQ135,45,0.6622353848198343,0.2207060677067068
0,MQ135,46,0.6803847602606646,0.2192791576262523
0,MQ135,47,0.6770091337910796,0.22537868056919663
0,MQ135,48,0.6707481349700767,0.2224263147820852
0,MQ135,49,0.6930273996321074,0.22568048252181067
0,MQ135,50,0.685960543199685,0.22390549490493325
0,MQ135,51,0.7093224027583391,0.2182674719428445
0,MQ135,52,0.6995824349878577,0.2328761239000828
0,MQ135,53,0.7292824966419835,0.20594848739954721
0,MQ135,54,0.703897467424266,0.2433816215318781
0,MQ135,55,0.71975949053445,0.2517999638349044
0,MQ135,56,0.7669603045453558,0.17224256394138523
0,MQ135,57,0.7418746724266231,0.21507681305613982
0,MQ135,58,0.7607022658401875,0.20152431285124134
0,MQ135,59,0.7612974566243167,0.19600985849228936
0,MQ135,60,0.7784427164052233,0.19931398180605783
0,MQ135,61,0.7644062144446503,0.21434360029244645
0,MQ135,62,0.7794178293079901,0.1871567034447344
0,MQ135,63,0.7993770319632453,0.1531695261605405
0,MQ135,64,0.7993920007104671,0.2006602872887961
0,MQ135,65,0.8091446383472708,0.2008878336262834
0,MQ135,66,0.8574979500523504,0.09343360496273247
0,MQ135,67,0.8133716288416001,0.20651030441608423
0,MQ135,68,0.8069585514334842,0.20829933671106543
0,MQ135,69,0.8597186444135158,0.07265209716736136
0,MQ135,70,0.8257118143242257,0.20573202295681853
0,MQ135,71,0.8140634780490054,0.21677901962217036
0,MQ135,72,0.8347251460521025,0.20735601883651195
0,MQ135,73,0.8209349922796876,0.23284514574239304
0,MQ135,74,0.832715603946308,0.21345229205808305
0,MQ135,75,0.8439359119857057,0.21559296457339225
0,MQ135,76,0.8463898697865654,0.21867575623557842
0,MQ135,77,0.8222631896777886,0.2350315327193494
0,MQ135,78,0.831376512985078,0.22986900660058765
0,MQ135,79,0.8484437716307094,0.2238515764736334
0,MQ135,80,0.857957107423404,0.21584965100814285
0,MQ135,81,0.8658407980489767,0.21431151351575622
0,MQ135,82,0.8574502987742968,0.2317572941243286
0,MQ135,83,0.8802466594735372,0.216296049571952
0,MQ135,84,0.8603309857334813,0.22216582161793977
0,MQ135,85,0.8850246092036581,0.2196295533363297
0,MQ135,86,0.8781123949573487,0.22128974204157714
0,MQ135,87,0.8657471733510061,0.2552444672325204
0,MQ135,88,0.8710955769083246,0.2525748956175672
0,MQ135,89,0.8673703058308809,0.24939131103851925
0,MQ135,90,0.890425094633037,0.23785340189703766
0,MQ135,91,0.8941940596991873,0.23457506963861946
0,MQ135,92,0.893917963374132,0.24326191232166658
