condicao,modelo,leituras_teste,accuracy,balanced_accuracy,f1_macro
Sem controle de pressão,Extra Trees,25488,0.8758239171374764,0.8692392549808521,0.8728076571551513
Sem controle de pressão,Random Forest,25488,0.8609541745134965,0.8561660161801776,0.8586329940645168
Sem controle de pressão,XGBoost,25488,0.8103421217827997,0.8012508342231972,0.8037071744768718
Sem controle de pressão,HistGradientBoosting,25488,0.7604362837413685,0.7581601334076276,0.7586413570548729
Sem controle de pressão,Regressão logística,25488,0.8039469554300063,0.7925157076897391,0.7943829669292766
Sem controle de pressão,Naive Bayes Gaussiano,25488,0.7313245448838669,0.7357845226046054,0.7313037916367318
Sem controle de pressão,Naive Bayes Multinomial,25488,0.72704802259887,0.7058350951374207,0.6901549590092364
Sem controle de pressão,Naive Bayes Complementar,25488,0.5368016321406152,0.5546356937820217,0.5159998973681756
Sem controle de pressão,SVM linear,25488,0.8701349654739485,0.8651160810070375,0.8678326510399033
Sem controle de pressão,KNN,25488,0.794256120527307,0.7832434845485539,0.784840038742584
Sem controle de pressão,MLP,25488,0.8590709353421218,0.8562125794900781,0.8576074078063025
Com controle de pressão,Extra Trees,22115,0.9082975356093149,0.9073036690084336,0.9079631495525959
Com controle de pressão,Random Forest,22115,0.9211394980782275,0.9189287428438002,0.9204295034534762
Com controle de pressão,XGBoost,22115,0.9282387519782953,0.9272789774004815,0.9279790464888422
Com controle de pressão,HistGradientBoosting,22115,0.880759665385485,0.8797511985635451,0.8803333341370311
Com controle de pressão,Regressão logística,22115,0.9163915894189464,0.9132984194252398,0.9151958608491167
Com controle de pressão,Naive Bayes Gaussiano,22115,0.8725751752204386,0.8720243716656157,0.872296544238534
Com controle de pressão,Naive Bayes Multinomial,22115,0.5785213655889667,0.5627638615254714,0.4669400372151177
Com controle de pressão,Naive Bayes Complementar,22115,0.7895093827718743,0.7928988803361285,0.788603103926647
Com controle de pressão,SVM linear,22115,0.9194212073253448,0.9164608841585336,0.9183380191439281
Com controle de pressão,KNN,22115,0.7940312005426181,0.7899401917151346,0.7897934871947767
Com controle de pressão,MLP,22115,0.8723490843319014,0.8728830886087294,0.8723137281013786
