cenario,linhas_avaliadas,accuracy,balanced_accuracy,f1_macro,coletas_excluidas
teste_completo,22115,0.9320370789057201,0.9299628757807419,0.9314687051946788,
teste_sem_C24,19994,0.9248274482344704,0.9285448001852028,0.9248252952548898,C24
teste_sem_C28,19985,0.9247935951963973,0.9285374085790579,0.924791061368385,C28
teste_sem_C30,20569,0.9269288735475716,0.9289892123207754,0.9268910261486287,C30
teste_sem_C32,20844,0.9347534062559969,0.9362041467304625,0.9346353066243529,C32
teste_sem_C24_C28_C30,16318,0.9078931241573722,0.9235694056101232,0.9026616662837116,C24 | C28 | C30
teste_sem_C24_C28_C30_C32,15047,0.9096165348574466,0.9362041467304625,0.8988408412203908,C24 | C28 | C30 | C32
