avaliacao,modelo,fold,accuracy,balanced_accuracy,f1_macro
stratified_group_kfold,random_forest_baseline,1,0.5056986729117877,0.502904989747095,0.501454022673136
stratified_group_kfold,random_forest_baseline,2,0.6725928256765261,0.6566006600660066,0.6193563672926514
stratified_group_kfold,random_forest_baseline,3,0.9993892508143323,0.999228791773779,0.9993614454213284
stratified_group_kfold,random_forest_baseline,4,0.46775527077304674,0.35784313725490197,0.31868750880157726
stratified_group_kfold,random_forest_baseline,5,0.67933390264731,0.7580541237113403,0.6793268284980992
stratified_group_kfold_media,random_forest_baseline,media,0.6649539845646005,0.6549263405106246,0.6236372345373585
stratified_group_kfold,random_forest_leaf10,1,0.4488680718188915,0.44334757347915243,0.4341495554113559
stratified_group_kfold,random_forest_leaf10,2,0.9027690371302706,0.898019801980198,0.9007159658411044
stratified_group_kfold,random_forest_leaf10,3,0.9853420195439739,0.9876008847970348,0.984764929562612
stratified_group_kfold,random_forest_leaf10,4,0.4878048780487805,0.37318153067678683,0.32786885245901637
stratified_group_kfold,random_forest_leaf10,5,0.67933390264731,0.7580541237113403,0.6793268284980992
stratified_group_kfold_media,random_forest_leaf10,media,0.7008235818378453,0.6920407829289024,0.6653652263544376
stratified_group_kfold,extra_trees_leaf5,1,0.3044496487119438,0.2932330827067669,0.2333931777378815
stratified_group_kfold,extra_trees_leaf5,2,0.9106356198867213,0.9062706270627063,0.9089532394638992
stratified_group_kfold,extra_trees_leaf5,3,0.9521579804560261,0.9602206100871367,0.9508843117304213
stratified_group_kfold,extra_trees_leaf5,4,0.40471269119470854,0.30961416824794435,0.2881106533254856
stratified_group_kfold,extra_trees_leaf5,5,0.6949188727583262,0.7698131443298969,0.6947933254330398
stratified_group_kfold_media,extra_trees_leaf5,media,0.6533749626015452,0.6478303264868902,0.6152269415381455
stratified_group_kfold,extra_trees_leaf10,1,0.3042935206869633,0.2930827067669173,0.23330141249700742
stratified_group_kfold,extra_trees_leaf10,2,0.9104782882315922,0.9061056105610561,0.9087889686970239
stratified_group_kfold,extra_trees_leaf10,3,0.9552117263843648,0.9627484159516464,0.9539724410501902
stratified_group_kfold,extra_trees_leaf10,4,0.41070690367920626,0.3141998734977862,0.29113553113553114
stratified_group_kfold,extra_trees_leaf10,5,0.761528608027327,0.8200708762886597,0.7597144180727224
stratified_group_kfold_media,extra_trees_leaf10,media,0.6684438094018907,0.6592414966132132,0.629382554290495
stratified_group_kfold,extra_trees_leaf50,1,0.30491803278688523,0.29368421052631577,0.23366834170854273
stratified_group_kfold,extra_trees_leaf50,2,0.9073316551290119,0.9028052805280529,0.9054995403189423
stratified_group_kfold,extra_trees_leaf50,3,0.9523615635179153,0.960389130478104,0.9510900202889473
stratified_group_kfold,extra_trees_leaf50,4,0.44749896651508886,0.34234661606578115,0.3091532200485506
stratified_group_kfold,extra_trees_leaf50,5,0.67933390264731,0.7580541237113403,0.6793268284980992
stratified_group_kfold_media,extra_trees_leaf50,media,0.6582888241192422,0.6514558722619188,0.6157475901726165
stratified_group_kfold,hist_gradient_boosting,1,0.5450429352068696,0.5431322624743677,0.5427557232429279
stratified_group_kfold,hist_gradient_boosting,2,0.8171806167400881,0.8082508250825082,0.8070264310803978
stratified_group_kfold,hist_gradient_boosting,3,0.9993892508143323,0.999228791773779,0.9993614454213284
stratified_group_kfold,hist_gradient_boosting,4,0.5651095494005788,0.43302232356488674,0.36324854867375767
stratified_group_kfold,hist_gradient_boosting,5,0.67933390264731,0.7580541237113403,0.6793268284980992
stratified_group_kfold_media,hist_gradient_boosting,media,0.7212112509618358,0.7083376653213764,0.6783437953833021
stratified_group_kfold,logistic_regression_scaled,1,0.49711163153786103,0.49401230348598774,0.4920399587092517
stratified_group_kfold,logistic_regression_scaled,2,0.6727501573316551,0.6571621924669917,0.6223480914645426
stratified_group_kfold,logistic_regression_scaled,3,0.8931188925081434,0.9112611476888446,0.8919862356587414
stratified_group_kfold,logistic_regression_scaled,4,0.8565522943365027,0.8393661529589894,0.8408878433810762
stratified_group_kfold,logistic_regression_scaled,5,0.8917591801878736,0.9183311855670103,0.8864040377378906
stratified_group_kfold_media,logistic_regression_scaled,media,0.7622584311804071,0.7640265964335649,0.7467332333903005
