dataset,numero_coleta,condicao,Coleta,Dia,Vaso,Classe,sensor,linhas,min,media,mediana,max,desvio,range,maior_delta_entre_linhas,linha_maior_delta_relativa,tempo_maior_delta
antes_dia_20,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,MQ2,1513,9724.0,11125.816259087906,10413.0,16671.0,1951.4051237397348,6947.0,6255.0,237,153.36
antes_dia_20,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,MQ3,1513,11292.0,16987.93390614673,17798.0,18170.0,2085.4755556581717,6878.0,5924.0,100,115.22
antes_dia_20,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,MQ7,1513,128.0,1093.9306014540648,143.0,7951.0,2473.1686639918084,7823.0,7193.0,238,153.67
antes_dia_20,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,MQ8,1513,2911.0,3276.748182419035,3201.0,8855.0,409.67365791616527,5944.0,5840.0,239,153.93
antes_dia_20,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,MQ135,1513,10029.0,18899.959682749504,20233.0,20552.0,3308.768496683212,10523.0,9547.0,100,115.22
antes_dia_20,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,MQ138,1513,4793.0,7655.113020489094,7707.0,7951.0,202.79808173000706,3158.0,2531.0,237,153.36
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,Soil,1325,2283.0,2358.8543396226414,2364.0,2437.0,25.77515618565954,154.0,92.0,934,360.09
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,Temp.,1325,33.9,35.360679245283016,35.4,36.6,0.7835937568278674,2.700000000000003,0.10000000000000142,25,90.74
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,Pres.,1325,81.47,93.53177358490566,93.72,93.73,1.327215110182779,12.260000000000005,1.1700000000000017,4,84.56
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,MQ2,1325,9759.0,16138.614339622642,16914.0,17192.0,1861.1874125239035,7433.0,6648.0,749,305.27
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,MQ3,1325,10794.0,13006.098867924527,12004.0,18021.0,2125.814002624052,7227.0,6264.0,21,89.66
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,MQ7,1325,101.0,6758.461886792453,7604.0,7777.0,1950.771805840756,7676.0,7653.0,1280,463.12
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,MQ8,1325,2530.0,4180.922264150943,3511.0,12679.0,1772.6571813588967,10149.0,10034.0,55,99.59
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,MQ135,1325,9766.0,12285.757735849056,10819.0,20308.0,3250.5722497865636,10542.0,9589.0,21,89.66
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,MQ138,1325,2776.0,7153.843018867925,7493.0,7778.0,842.2333967931093,5002.0,4546.0,54,99.28
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,Soil,2233,228.0,510.9628302731751,445.0,953.0,168.31741369802808,725.0,613.0,1149,432.03
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,Temp.,2233,34.8,38.83439319301388,39.1,41.7,1.930541017776015,6.900000000000006,0.10000000000000142,13,129.59
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,Pres.,2233,76.04,93.39390953873712,93.57,93.59,1.453820509023811,17.549999999999997,2.1400000000000006,681,307.29
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,MQ2,2233,11842.0,20119.076130765785,20419.0,20646.0,1452.4789273941603,8804.0,6372.0,653,300.12
